A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,alpha0,alpha1,alpha2,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,ent0,ent1,ent2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-70.91654378500797,-71.71654378500799,-71.51654378500798,0.03548742163181305,0.04008973820321262,0.0428043716698885,-214.14963135502393,1.0,1.0,1.0,-37.96403694152832,-37.80934524536133,-39.34309005737305,0.3378681540489197,0.3452391028404236,0.3830394446849823,-1.3152575492858887,-1.3468024730682373,-1.3733975887298584,-19.125274658203125,-19.130111694335938,-19.826732635498047,60,1525
-69.6544416885646,-69.3544416885646,-69.6544416885646,0.0360764665203169,0.02990503784129396,0.03309614026732743,-208.66332506569378,1.0,1.0,1.0,-40.7470588684082,-41.642303466796875,-41.29096794128418,0.36367174983024597,0.3820752203464508,0.3693530559539795,-1.329627513885498,-1.3411263227462769,-1.3541638851165771,-20.5450439453125,-21.090105056762695,-20.543743133544922,65,1650
-76.7350208980495,-77.3350208980495,-76.8350208980495,0.03919866232573986,0.04071306373737753,0.03278214935585856,-230.9050626941485,1.0,1.0,1.0,-44.21733093261719,-43.76471138000488,-43.79518127441406,0.398283988237381,0.44140130281448364,0.5083833932876587,-1.3074262142181396,-1.3476965427398682,-1.3455950021743774,-22.569204330444336,-22.108903884887695,-21.560388565063477,70,1775
-69.3616196346958,-69.8616196346958,-69.8616196346958,0.02528470226144418,0.019070199213922025,0.02282140824291855,-209.08485890408738,1.0,1.0,1.0,-45.50554084777832,-46.7633171081543,-46.21966552734375,0.3870759904384613,0.4369773864746094,0.4071929156780243,-1.3217194080352783,-1.3344355821609497,-1.373410940170288,-22.890174865722656,-23.557889938354492,-23.029800415039062,75,1900
-70.4049060989056,-69.8049060989056,-70.5049060989056,0.018986639388109326,0.019096574450377376,0.017091098795644938,-210.71471829671682,1.0,1.0,1.0,-48.74014663696289,-48.91795349121094,-49.534000396728516,0.40200161933898926,0.4235200583934784,0.5184992551803589,-1.288949728012085,-1.3438763618469238,-1.3479163646697998,-24.64877700805664,-24.728174209594727,-24.581514358520508,80,2025
-77.41996871543688,-77.51996871543687,-77.51996871543687,0.028978511328576134,0.030839671682566405,0.02767936414014548,-232.45990614631063,1.0,1.0,1.0,-51.620405197143555,-51.22214698791504,-51.23382377624512,0.431111216545105,0.5436421632766724,0.4224469065666199,-1.3386664390563965,-1.3481624126434326,-1.3194959163665771,-26.217098236083984,-25.664142608642578,-25.275449752807617,85,2150
-73.60678245129881,-74.60678245129881,-74.90678245129882,0.016561274734325705,0.025659707930870353,0.012542519427952356,-223.12034735389642,1.0,1.0,1.0,-52.90162467956543,-52.30179786682129,-54.43838119506836,0.574519157409668,0.3986079692840576,0.445797324180603,-1.3464906215667725,-1.3030312061309814,-1.3646694421768188,-26.796119689941406,-26.623750686645508,-26.7083740234375,90,2275
-68.57822729019051,-68.17822729019052,-69.37822729019051,0.017309709168504925,0.0189071083990857,0.014229568203329108,-206.1346818705715,1.0,1.0,1.0,-55.17705726623535,-55.823591232299805,-55.69819259643555,0.482716828584671,0.42424213886260986,0.4103187918663025,-1.3105307817459106,-1.3145992755889893,-1.362074851989746,-28.058673858642578,-28.076793670654297,-27.563304901123047,95,2400
-75.31092434258782,-75.41092434258783,-75.11092434258782,0.021454491120763124,0.012610831109341233,0.020252563304500655,-225.8327730277635,1.0,1.0,1.0,-58.553810119628906,-58.41282272338867,-57.150001525878906,0.5384436845779419,0.4655567407608032,0.4889741837978363,-1.2857908010482788,-1.313539743423462,-1.3357505798339844,-29.94967269897461,-29.337913513183594,-28.063846588134766,100,2525
-68.94255208479868,-68.74255208479869,-68.94255208479868,0.019475731561891734,0.015733479377347977,0.019478862997610123,-206.62765625439607,1.0,1.0,1.0,-59.149431228637695,-59.772056579589844,-61.590057373046875,0.5542704463005066,0.47427794337272644,0.5949421525001526,-1.3231885433197021,-1.306966781616211,-1.356626272201538,-30.06795883178711,-30.03744125366211,-30.394105911254883,105,2650
