A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-78.87310578045546,-78.17310578045547,-78.77310578045547,0.21793635136634112,0.18047316354885698,0.18559359768405556,-235.81931734136643,-1.2338837385177612,-1.43973708152771,-1.2805288434028625,4.936062812805176,6.070359230041504,5.434854984283447,-0.7932852506637573,-0.6039533019065857,-0.7806539535522461,20,525
-83.88715903299371,-84.28715903299371,-84.28715903299371,0.06597410242981278,0.04186458846367896,0.06815757861267775,-252.46147709898113,-13.541035652160645,-13.711925506591797,-13.471629619598389,0.2115369439125061,0.22708478569984436,0.1954626888036728,-6.738936901092529,-6.710607051849365,-6.897830009460449,30,775
-71.59531911769193,-71.39531911769193,-71.59531911769193,0.04397442376986146,0.04139595948718488,0.037990467743948104,-214.5859573530758,-23.0955867767334,-23.49219036102295,-23.33589458465576,0.2958281636238098,0.2880246639251709,0.2110511064529419,-11.797531127929688,-11.541908264160156,-11.702150344848633,40,1025
-81.69393135998006,-81.19393135998006,-81.49393135998005,0.046169528648257255,0.03589772859425284,0.03927096148952842,-244.38179407994016,-32.984479904174805,-33.63688278198242,-33.85824012756348,0.39210179448127747,0.293790340423584,0.3053983747959137,-17.041372299194336,-16.549835205078125,-16.669239044189453,50,1275
-69.40038400939245,-68.40038400939245,-69.50038400939245,0.022233551217243075,0.01629192373319529,0.024551552122458815,-207.30115202817734,-41.89921760559082,-42.75637626647949,-43.74790000915527,0.36355647444725037,0.33664554357528687,0.35198408365249634,-22.036272048950195,-21.493816375732422,-20.72706413269043,60,1525
-67.35600321937568,-67.45600321937567,-67.75600321937569,0.0177012506024912,0.02620620511099696,0.030998056636191904,-202.56800965812704,-50.07809829711914,-51.110435485839844,-51.87954139709473,0.3477751612663269,0.2900978922843933,0.27426832914352417,-26.578489303588867,-25.388025283813477,-24.67499351501465,70,1775
-66.23464383288798,-66.83464383288798,-66.43464383288799,0.02048986320453696,0.01905012402543798,0.024976758078206332,-199.50393149866395,-57.21743202209473,-57.7430419921875,-58.82931900024414,0.3545306324958801,0.3307505249977112,0.31360122561454773,-29.91904067993164,-29.111330032348633,-27.891813278198242,80,2025
-73.32846395126282,-73.02846395126281,-73.42846395126281,0.019291079748945776,0.018974954227451234,0.03138333357684314,-219.78539185378844,-63.68067932128906,-64.82073783874512,-66.8612289428711,0.3497040569782257,0.33721765875816345,0.33658096194267273,-33.16865158081055,-32.88992691040039,-31.757211685180664,90,2275
-71.24553832541041,-71.1455383254104,-71.74553832541041,0.022967391829704868,0.02425653211027384,0.020185185056179764,-214.13661497623121,-70.00201034545898,-69.73962020874023,-70.92069625854492,0.3765657842159271,0.39742574095726013,0.38299161195755005,-36.24199676513672,-35.45853042602539,-33.68538284301758,100,2525
-70.30931474734189,-70.70931474734189,-70.50931474734189,0.017560676038963722,0.015764877376612276,0.014230191961163655,-211.52794424202565,-73.84932327270508,-75.13134002685547,-75.63459777832031,0.3824031949043274,0.3777810335159302,0.4522415101528168,-38.0738410949707,-38.368412017822266,-36.07486343383789,110,2775
