Advantage Reward,Adversaries Reward,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Agent 4 Prediction Loss,Agent Reward,Survive Time,total_episode,total_numsteps
-5.257331055339457,1.8553358948184961,8.411710828077048,7.812146396376193,8.939389000181109,9.625205393880606,-3.40199516052096,21.0,30,344
-18.566160527283593,6.299842096708469,0.853965237562079,0.7226775045273826,0.6807070468203165,0.7257485233421903,-12.266318430575122,23.8,40,517
-5.773953248428939,0.949219747879901,0.8215960497618653,0.6680689196800813,0.762605260417331,0.4510612925660098,-4.824733500549037,17.7,50,672
-22.010610653426166,10.112547773698148,0.9325382435345091,0.6656151877177763,0.632537480960309,0.19264676816237625,-11.898062879728016,19.7,60,811
4.3298487386532045,-3.0132421768292885,1.4847165272803977,1.4705629437812604,0.9143661193520529,0.9159755943692289,1.3166065618239156,20.2,70,1014
1.5751662951422118,-0.8033514065553427,1.4822891048970632,0.9709657803177834,1.159687774052145,1.2471353848231956,0.7718148885868693,23.6,80,1178
-10.274271989541752,4.8979413053646335,3.6166335220914334,2.3298161309794523,2.3188895958592184,2.497882622294128,-5.376330684177119,18.4,90,1358
-5.780680401426063,0.4858014929191885,2.0967085987213068,2.200477827223949,1.901350278989412,2.765685547608882,-5.294878908506874,17.8,100,1552
7.125923776950961,-5.444874890221955,1.7326671828632243,2.026217470818665,2.2144956652773544,2.3142118178366218,1.6810488867290048,16.2,110,1773
1.0377827465685672,-1.065637560812131,5.8458661657059565,4.9101285237120464,4.583531901007518,5.242179897963069,-0.027854814243562665,21.7,120,1922
8.118489140319193,-6.463539086363356,3.2407827437855303,2.5092927989317104,2.8558993050828576,2.321854900335893,1.6549500539558388,19.9,130,2075
-2.5262374488857975,0.17685744838252065,4.202224113512784,3.305704992963001,5.04114854731597,4.283684332855046,-2.3493800005032766,16.5,140,2220
6.073868662000452,-3.732776467656381,1.8078068261384033,1.9423902004491538,1.9087194916501176,1.196849633124657,2.34109219434407,15.3,150,2412
1.5949885674952395,-1.3694024042729112,5.32492412882857,3.424458673573099,4.075278524891473,3.794666527537629,0.22558616322232847,20.5,160,2608
4.63898570069273,-3.333573364810641,3.6012248394545168,2.989070393377915,3.008157490286976,2.7925504816230386,1.305412335882089,17.5,170,2809
0.3583815749140825,-0.5826380393837653,6.180898186285049,6.6490941750817,7.541255282703787,6.557287050876766,-0.22425646446968345,22.3,180,3014
7.246828856961694,-5.059371134033329,5.478953522164375,7.557914666482247,8.110161015647464,9.039924376294948,2.1874577229283645,17.9,190,3183
3.232937045242383,-2.8439807130279915,6.894543994218111,5.589117122348398,4.263099840609357,4.303168136160821,0.3889563322143915,19.2,200,3310
2.925706663736679,-2.661209320925104,9.717668320517987,8.501659709494561,6.228155579417944,7.101817969232798,0.2644973428115741,16.1,210,3491
0.010668460085724618,-1.2650074283047656,5.315496023744345,4.596191999735311,4.600350656080991,3.6929337905021384,-1.2543389682190411,12.2,220,3663
1.7805914842170651,-2.0989989691269706,6.795262998901308,6.6986442264169455,6.898826260119677,6.378281452693045,-0.3184074849099055,15.9,230,3849
1.8678483124125063,-1.990133200377286,6.754169636406004,5.899213986005634,6.522324202815071,6.599753022892401,-0.12228488796477884,11.1,240,4016
-0.7041717521616938,-1.8793020858400122,8.031834440305829,11.507708299905062,10.549000148661435,11.894069330766797,-2.5834738380017055,13.9,250,4175
-7.1743329669610505,2.3673647545444547,6.8903551790863276,6.300244924612343,7.562962857075036,7.799402745440602,-4.8069682124165976,12.8,260,4344
4.891514961259003,-3.371266199981431,7.023404114879668,5.706411527469754,6.088973432779312,6.574365519918501,1.520248761277571,12.6,270,4511
-10.210509095615768,3.725840054238913,5.855627361685038,5.282391006127,7.327892858535051,6.888095001224428,-6.484669041376857,9.7,280,4642
5.600104435631383,-3.04941030832316,8.47649129666388,7.334518181160092,6.420973810367286,7.150138456374407,2.550694127308223,11.1,290,4802
-1.3339020566855424,-0.28494414522743,9.32530863955617,6.870689686387777,6.939365141093731,6.853396967053413,-1.6188462019129723,12.6,300,5008
-1.04830411640116,-0.6003634628406116,11.482262718258426,7.421935033984482,8.664753574412316,10.415194337256253,-1.6486675792417707,12.2,310,5161
1.1315541254250931,-1.0735190543479773,12.567886423319578,9.521904716268182,12.105231354944408,11.975969235412776,0.05803507107711599,11.5,320,5304
-3.472126764835611,0.5980060523401644,6.585347510874271,5.8927850583568215,4.776208297349513,4.82459582015872,-2.874120712495446,11.0,330,5425
0.39544805691021506,-1.6715778780047017,9.770066872239113,9.720092069357634,10.19233978819102,10.757968105375767,-1.2761298210944862,10.0,340,5622
3.767826528438435,-3.494716240342373,7.8430928136222064,6.232307332102209,6.857130082324147,6.879360124468803,0.2731102880960627,9.7,350,5802
-4.304776232285445,0.9495046687633906,14.37947703152895,13.5089091071859,10.36923767789267,11.265624679625034,-3.3552715635220522,14.2,360,5950
5.237406094052336,-3.355096507048102,7.621280941180885,6.923771223984659,5.246744581498206,5.364667370449752,1.8823095870042341,10.3,370,6134
4.183592222033173,-3.54853687390618,10.047142242081463,11.372191750444472,7.8224432927090675,7.889339531771839,0.6350553481269934,14.1,380,6269
-1.3737102793594915,-1.482944160200934,5.3871594672091305,5.971527394838631,6.526783155743033,6.571411341428757,-2.8566544395604248,13.9,390,6459
0.6411525962235475,-2.051009057543656,7.110658858902752,6.527005500625819,6.030522310640663,5.166710715275258,-1.4098564613201094,14.7,400,6645
0.9276149361986347,-2.940810892284493,8.805732532404363,8.024156398139894,7.312426815740764,5.9407465872354805,-2.0131959560858577,11.1,410,6784
