Return,total_numsteps
-0.041468725,63
-0.19859652,64
-0.38244757,65
-0.3700045,66
-0.14482525,67
-0.10501319,68
-0.23431543,69
-0.5638086,70
-0.61625,71
-0.59146863,72
-0.58610046,73
-0.65886265,74
-0.9467732,75
-1.2444956,76
-1.7273312,77
-2.008538,78
-2.2922902,79
-2.5483012,80
-2.69481,81
-2.575569,82
-2.5845926,83
-2.6139743,84
-2.5859985,85
-2.6307015,86
-2.4953735,87
-2.267241,88
-2.2669258,89
-2.29969,90
-2.3407884,91
-2.3560302,92
-2.4654796,93
-2.5940106,94
-2.7424324,95
-2.8639152,96
-2.9383457,97
-3.2044036,98
-3.463007,99
-3.8160064,100
-4.0949326,101
-4.325438,102
-4.492711,103
-4.7463846,104
-4.7830744,105
-4.810888,106
-4.6601763,107
-4.52217,108
-4.4252744,109
-4.2522016,110
-4.0887294,111
-3.8904426,112
-3.7741401,113
-3.6215267,114
-3.7748268,115
-4.04705,116
-4.0831237,117
-4.0400515,118
-3.9420357,119
-4.1209116,120
-4.38298,121
-4.5070915,122
-4.5576897,123
-4.6871467,124
-4.953567,125
-5.0559983,126
-5.106931,127
-5.221917,128
-5.235674,129
-5.1986613,130
-5.032781,131
-4.981328,132
-5.1046853,133
-5.424096,134
-5.768876,135
-5.9339423,136
-5.9627466,137
-5.5333037,138
-5.5795264,139
-5.512611,140
-5.744222,141
-6.100036,142
-6.631372,143
-6.61947,144
-6.697409,145
-7.0298843,146
-6.9932327,147
-7.5409455,148
-8.002608,149
-8.240452,150
-7.9639115,151
-7.4940653,152
-6.9224625,153
-6.4077377,154
-5.7833643,155
-5.6784787,156
-5.9127097,157
-6.4220085,158
-7.0809007,159
-7.8628983,160
-8.200771,161
-8.458163,162
-8.752356,163
-8.817459,164
-7.8656216,165
-7.8696785,166
-8.487522,167
-8.452215,168
-8.512684,169
-6.721386,170
-4.2186356,171
-3.4738617,172
-2.959813,173
-3.8035002,174
-5.979409,175
-6.4334354,176
-5.7073984,177
-4.6030645,178
-5.106699,179
-4.731104,180
-3.9691763,181
-3.5396786,182
-2.1925373,183
-2.3639088,184
-2.0158415,185
-2.2382393,186
-1.8765364,187
-1.0431442,188
0.23077297,189
1.9675999,190
4.0716887,191
5.0850787,192
6.328661,193
6.198998,194
5.7081137,195
4.7950068,196
3.5380297,197
1.8511963,198
-0.43307114,199
0.6101589,200
2.1236176,201
4.598208,202
6.187415,203
5.2829304,204
3.9572334,205
2.9367867,206
3.807746,207
5.7311935,208
8.008493,209
8.202116,210
5.5946207,211
2.1667762,212
0.69713783,213
1.2569551,214
1.062067,215
2.6636744,216
5.0452437,217
6.071001,218
5.697306,219
3.6164188,220
3.1190114,221
3.8767838,222
4.8369904,223
6.0356903,224
6.648801,225
5.9651656,226
3.7306194,227
0.75117016,228
-0.22204018,229
0.8819809,230
3.6469584,231
7.2784452,232
9.612825,233
9.912207,234
9.459214,235
9.234116,236
9.303616,237
9.599287,238
9.702292,239
9.141238,240
7.82362,241
7.158224,242
7.628155,243
8.986417,244
9.882208,245
9.70644,246
8.373097,247
6.7376585,248
5.8715,249
4.5438786,250
4.0815067,251
3.8419318,252
4.412171,253
5.1728764,254
5.6858234,255
6.276185,256
7.278466,257
8.6538925,258
9.788076,259
9.86425,260
8.992503,261
7.9614453,262
7.5229497,263
7.320563,264
7.3683205,265
8.081498,266
9.068729,267
9.644263,268
9.522454,269
8.8202505,270
7.8984327,271
6.6286726,272
5.4226904,273
5.171853,274
5.2227497,275
4.6993484,276
4.4606347,277
4.7512693,278
5.4189672,279
5.959367,280
7.184154,281
8.516411,282
8.939484,283
9.565727,284
9.73216,285
9.615681,286
9.617839,287
9.693951,288
9.297498,289
7.8083797,290
5.1208735,291
2.4472442,292
1.0238533,293
0.31521702,294
0.36019135,295
1.360156,296
2.6735015,297
3.8765893,298
5.4213767,299
6.8077354,300
7.6698027,301
8.340796,302
9.01659,303
9.490943,304
9.49128,305
9.481489,306
9.0400715,307
8.611527,308
8.180542,309
7.932495,310
7.7394733,311
7.644456,312
7.1168036,313
6.4876328,314
6.268615,315
5.8894715,316
5.566722,317
4.9060926,318
4.734044,319
3.4629354,320
3.0053167,321
3.412447,322
4.309687,323
5.516709,324
6.457477,325
7.061602,326
6.902568,327
6.411359,328
5.7881565,329
4.85271,330
4.670659,331
4.2586985,332
3.2974534,333
2.0518122,334
0.4590206,335
-0.23899269,336
-0.63542557,337
-0.55969906,338
-0.003068924,339
1.3381939,340
2.3891754,341
3.5861769,342
5.4604473,343
7.6880527,344
8.711652,345
8.6957245,346
8.713983,347
8.660521,348
8.691764,349
8.289615,350
7.0898094,351
4.45855,352
1.7653961,353
-0.47325325,354
-2.7945976,355
-3.885332,356
-3.9245367,357
-3.060402,358
-1.2245522,359
0.8783493,360
2.5444913,361
3.6999378,362
4.7651887,363
5.1191187,364
5.0576034,365
4.797459,366
4.5271945,367
3.4188023,368
2.3876967,369
0.8717623,370
-0.3084011,371
-1.5243454,372
-1.9359093,373
-0.91872215,374
0.6508751,375
2.9351606,376
5.425763,377
7.557702,378
8.7824955,379
9.444938,380
9.579983,381
9.660856,382
9.570088,383
9.291414,384
8.811531,385
8.474653,386
7.975791,387
7.274791,388
6.5309877,389
5.237361,390
3.6993074,391
3.0302567,392
3.286192,393
4.0193305,394
5.1186666,395
5.9433713,396
6.8170037,397
7.462297,398
7.812703,399
8.222751,400
7.957166,401
8.089174,402
8.568965,403
8.454094,404
7.6828127,405
6.6147175,406
5.016921,407
3.2260566,408
