B1 Loss,B2 Loss,P1 Loss,P2 Loss,Play 1,Play 2,Return,total_numsteps
-0.6224961876869202,-0.6357315182685852,0.0035082988906651735,0.5861981511116028,1.1021917,-1.0723958,-4.68114,20
-0.7706535458564758,-0.35993674397468567,0.0070335399359464645,0.04915238916873932,0.61719096,-0.35270226,-4.7244635,30
-0.7928012609481812,-0.6611471772193909,0.012428750284016132,0.018700459972023964,1.0491863,1.7273314,-7.2755237,40
-0.8689906597137451,-0.6562262773513794,0.0035211241338402033,0.0016350167570635676,-0.6009518,-0.048177436,-3.899749,50
-0.5922096371650696,-0.6567328572273254,0.006467926781624556,0.0034085488878190517,0.4706934,-0.39017454,-4.549243,60
-0.7825144529342651,-0.8648476004600525,0.015495294705033302,0.0023982515558600426,0.99696565,1.6931337,-7.1788116,70
-0.773892343044281,-0.703781008720398,0.0409681499004364,0.04114541411399841,3.3667068,2.803164,2.5062652,80
-0.9148621559143066,-0.8039202094078064,0.03887781873345375,0.007765231188386679,3.0515277,3.2699678,3.2104445,90
-0.6249756813049316,-0.4793774485588074,0.03524470701813698,0.019355401396751404,1.3327246,4.126264,-4.212323,100
-0.7661614418029785,-0.7992555499076843,0.01892068237066269,0.00011876302596647292,3.1608791,4.556535,6.420973,110
-0.5991507172584534,-0.7331041097640991,0.09911095350980759,0.016939746215939522,2.0830662,6.624753,-1.148325,120
-0.8270582556724548,-0.7746591567993164,0.05843633413314819,0.0034767233300954103,3.1976137,6.049495,5.6499634,130
-0.8416120409965515,-0.651398241519928,8.070241165114567e-06,0.004397026263177395,3.1188285,3.6990523,4.768729,140
-0.7465365529060364,-0.5625708103179932,0.01444372907280922,0.004514963366091251,4.3885956,5.09626,9.616919,150
-0.8265906572341919,-0.7349985241889954,0.0007747065974399447,0.00035376916639506817,4.059605,3.8172147,7.7166767,160
-0.5808233022689819,-0.3820846676826477,0.04339643567800522,0.06458769738674164,6.3914137,6.257552,6.4825306,170
-0.6575878858566284,-0.6323570013046265,0.026984812691807747,0.02110392414033413,5.3179703,5.739617,9.351862,180
-0.5982387065887451,-0.7503030300140381,0.10650323331356049,0.0032975065987557173,4.635113,7.26472,4.737901,190
-0.7534979581832886,-0.4587571620941162,0.016087250784039497,0.03045547753572464,6.0665917,5.3336487,8.7510605,200
-0.5511675477027893,-0.764546811580658,0.08594375848770142,0.022907225415110588,5.8988805,7.1073265,4.7511888,210
-0.6742237210273743,-0.684974193572998,0.08523465692996979,0.021756190806627274,5.928216,7.070998,4.8493814,220
-0.5912410020828247,-0.5716394782066345,0.06858383864164352,0.04440924897789955,6.5370755,6.755963,4.553993,230
-0.36903396248817444,-0.4405868947505951,0.05755462497472763,0.07832682132720947,7.28444,6.4953384,2.5452967,240
