A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-69.96953570869621,-69.96953570869621,-69.96953570869621,0.010252627817681059,0.010629384497180582,0.016553906749002634,-209.90860712608864,-2.7215649485588074,-1.4609823822975159,-1.0012550950050354,10.74160385131836,3.2055697441101074,2.90036940574646,0.30963343381881714,-1.291823387145996,-1.9351813793182373,20,525
-76.17023735881462,-76.17023735881462,-76.17023735881462,0.0033788118865340946,0.0016197192573454231,0.0020124757008161396,-228.51071207644387,-10.405712604522705,-10.5258469581604,-10.20462703704834,0.06663903594017029,0.08682355284690857,0.16950154304504395,-5.0945329666137695,-5.055166721343994,-5.031018257141113,30,775
-69.07885994634698,-70.67885994634699,-70.17885994634699,0.0025994650137145074,0.002451666449836921,0.009988890174776315,-209.93657983904095,-17.552839279174805,-17.36253833770752,-17.565720558166504,0.09359140694141388,0.20081791281700134,0.08313791453838348,-8.66253662109375,-8.602031707763672,-8.541814804077148,40,1025
-77.17877482024656,-76.97877482024657,-76.97877482024657,0.0036610206933692098,0.0048573929448612035,0.004116362090688198,-231.1363244607397,-24.845178604125977,-24.287927627563477,-24.29330062866211,0.2540871798992157,0.15287654101848602,0.1378881186246872,-11.938092231750488,-12.253633499145508,-12.134315490722656,50,1275
-70.2980006675808,-70.5980006675808,-68.2980006675808,0.004862262275652029,0.006389724192558788,0.006987236496061086,-209.1940020027424,-31.942166328430176,-31.739166259765625,-31.701601028442383,0.23647578060626984,0.22412985563278198,0.4045867323875427,-15.34756088256836,-15.856359481811523,-15.920259475708008,60,1525
-66.44588162439621,-66.74588162439622,-66.54588162439622,0.012770743533968926,0.007848066453938372,0.010089871728385333,-199.73764487318863,-37.7986946105957,-37.34080123901367,-37.30509567260742,0.18682338297367096,0.24373909831047058,0.4037218987941742,-18.59100914001465,-18.5577449798584,-18.71158790588379,70,1775
-65.93485229466847,-65.23485229466847,-64.93485229466847,0.004903880416415631,0.008938639921369031,0.004690659815008985,-196.10455688400543,-43.44146537780762,-43.551082611083984,-42.96591377258301,0.2119024097919464,0.44863301515579224,0.3047719895839691,-21.263954162597656,-21.569915771484375,-21.164146423339844,80,2025
-70.36338368777164,-68.76338368777165,-70.46338368777165,0.010890634945128113,0.013171924383146688,0.012903240504208952,-209.59015106331495,-47.88077163696289,-48.71124267578125,-47.54628944396973,0.48388418555259705,0.5271294116973877,1.7824515104293823,-23.476703643798828,-23.847211837768555,-24.111663818359375,90,2275
-69.22593861836775,-67.82593861836776,-69.42593861836775,0.008652123127132655,0.0054545300954487175,0.015501648282166571,-206.47781585510324,-51.30648422241211,-52.42246627807617,-52.018510818481445,0.7488408088684082,0.28745049238204956,0.3486187160015106,-25.750137329101562,-25.7908935546875,-25.715938568115234,100,2525
-66.45841413539274,-67.85841413539274,-68.25841413539274,0.012404581955517642,0.010848601941019297,0.004336801126075443,-202.57524240617823,-55.118154525756836,-56.2435359954834,-57.83061408996582,0.32192063331604004,1.2273253202438354,0.8823355436325073,-28.3248233795166,-28.580772399902344,-28.124942779541016,110,2775
