Return,total_numsteps
-1.4429346,63
-0.6153748,64
-0.32098886,65
-0.7449775,66
-1.3535767,67
-3.1928139,68
-4.7740417,69
-5.7202206,70
-5.9571147,71
-5.745318,72
-5.089206,73
-3.2735214,74
-1.6655954,75
-0.78279006,76
-1.311912,77
-2.5676367,78
-3.8321807,79
-5.366698,80
-7.4104915,81
-8.4168,82
-8.860237,83
-8.63211,84
-7.874353,85
-7.0135765,86
-6.483571,87
-5.4131217,88
-5.5232058,89
-5.59988,90
-5.459615,91
-5.8589554,92
-5.775558,93
-5.2174473,94
-4.3488708,95
-4.1368537,96
-3.517311,97
-3.195073,98
-2.8733935,99
-3.0201888,100
-3.243945,101
-3.62688,102
-4.699705,103
-6.137037,104
-8.54453,105
-0.26117897,106
1.1080704,107
-1.2049398,108
-2.8847532,109
-6.840332,110
-8.252621,111
-8.42517,112
-7.458777,113
-7.2955184,114
-6.699817,115
-5.883737,116
-5.365776,117
-5.120861,118
-5.2345514,119
-6.033898,120
-6.8663545,121
-7.800987,122
-6.8350716,123
0.44024944,124
3.7737575,125
5.577209,126
5.66891,127
4.3443108,128
2.731883,129
-0.16720867,130
-3.1941547,131
-6.649288,132
-8.159902,133
-7.7434525,134
-7.9844146,135
-8.692421,136
-6.854229,137
-3.2896233,138
-0.1736393,139
1.6464777,140
4.0080066,141
5.2202206,142
6.108007,143
5.717372,144
3.5639677,145
1.9808178,146
-0.5083027,147
-2.634306,148
-5.2527227,149
-7.07465,150
-6.9261265,151
-5.2857294,152
-3.481474,153
-1.9928112,154
-0.68663406,155
1.7442131,156
1.7909365,157
0.24679184,158
-1.1508007,159
-3.6774588,160
-7.210079,161
-9.358668,162
-8.782035,163
-7.8323703,164
-7.13339,165
-6.63462,166
-6.355527,167
-6.2861814,168
-6.599839,169
-7.169687,170
-7.8059053,171
-8.988906,172
-10.275762,173
-10.970202,174
-11.364718,175
-11.320813,176
-11.013676,177
-10.818151,178
-9.870361,179
-8.693937,180
-7.393211,181
-6.39051,182
-5.725934,183
-5.591227,184
-5.8112407,185
-5.7189784,186
-5.7507396,187
-5.9928923,188
-6.3727164,189
-6.479029,190
-6.83595,191
-7.434302,192
-8.015462,193
-8.365879,194
-8.676892,195
-9.109832,196
-9.096187,197
-9.280137,198
-9.3856735,199
-9.102968,200
-8.514222,201
-8.0247965,202
-7.8624306,203
-7.9833426,204
-8.252824,205
-8.299773,206
-8.368492,207
-8.628087,208
-9.16225,209
-9.271553,210
-9.0668745,211
-8.765554,212
-8.606506,213
-8.9015255,214
-9.495372,215
-9.6980915,216
-10.498839,217
-10.586309,218
-10.3784075,219
-9.933773,220
-9.577466,221
-9.442091,222
-9.080104,223
-8.753026,224
-8.599002,225
-8.396834,226
-8.635213,227
-8.744193,228
-9.010707,229
-9.7790165,230
-10.117137,231
-10.600557,232
-10.97676,233
-11.258323,234
-11.159297,235
-11.109393,236
-11.1857,237
-11.062385,238
-10.742237,239
-10.949114,240
-11.104152,241
-11.080495,242
-10.571957,243
-10.528426,244
-10.8182,245
-10.502496,246
-10.57843,247
-10.685706,248
-11.173602,249
-11.380533,250
-11.396377,251
-10.868452,252
-10.746257,253
-10.8301325,254
-10.846229,255
-10.956198,256
-11.00219,257
-10.787757,258
-10.884373,259
-10.987702,260
-11.405952,261
-12.494494,262
-13.6690855,263
-14.225303,264
-14.691947,265
-14.949702,266
-14.940292,267
-14.518172,268
-13.7176075,269
-12.68674,270
-11.960221,271
-11.202407,272
-9.725983,273
-9.1974325,274
-8.919494,275
-9.141194,276
-9.723361,277
-9.95137,278
-10.616435,279
-11.415851,280
-12.629539,281
-14.037396,282
-14.783383,283
-15.050463,284
-15.197138,285
-15.033129,286
-14.465149,287
-14.075745,288
-13.632972,289
-13.220548,290
-13.113957,291
-13.513114,292
-14.288724,293
-14.778717,294
-14.947059,295
-15.07076,296
-14.913933,297
-14.453153,298
-13.69105,299
-12.576493,300
-11.3745365,301
-10.408208,302
-10.188949,303
-10.53247,304
-11.098198,305
-12.26018,306
-13.275955,307
-14.520088,308
-15.494769,309
-16.002663,310
-16.147053,311
-16.385557,312
-16.015615,313
-15.961435,314
-16.036049,315
-16.07221,316
-15.657809,317
-15.034703,318
-14.480176,319
-13.91008,320
-13.821312,321
-13.477318,322
-12.725577,323
-12.06203,324
-11.873502,325
-11.891887,326
-11.409825,327
-11.539729,328
-12.082346,329
-12.473697,330
-12.994292,331
-13.7061615,332
-14.22203,333
-14.948725,334
-14.393452,335
-13.248091,336
-12.281155,337
-12.131046,338
-12.213024,339
-10.529045,340
-9.535597,341
-9.306555,342
-8.450607,343
-9.129377,344
-9.65859,345
-11.049492,346
-12.779631,347
-13.996418,348
-14.850956,349
-14.115496,350
-13.662081,351
-11.650858,352
-10.563387,353
-8.186947,354
-5.60981,355
-3.2726574,356
-2.8255758,357
-2.1396952,358
-2.2519798,359
-2.31777,360
-1.6743813,361
-2.6885185,362
-1.4787312,363
0.09290123,364
0.36777973,365
1.4079142,366
1.473978,367
1.5931082,368
2.0615726,369
2.272767,370
2.5536332,371
2.7502027,372
2.0300164,373
1.2956123,374
0.19721031,375
-2.3791008,376
-5.0112,377
-6.2487354,378
-6.295973,379
-6.5133686,380
