B1 Loss,B2 Loss,P1 Loss,P2 Loss,Play 1,Play 2,Return,total_numsteps
-1.4807244539260864,-0.9833500385284424,0.05632619559764862,0.09986405074596405,-1.4738598,-4.2043276,-1.1614898,1160
-1.5054445266723633,-0.8956930637359619,0.008557247929275036,0.06479190289974213,-1.0362825,-3.4230595,-1.617582,1170
-1.6046290397644043,-0.8992576599121094,0.00941157341003418,0.13039451837539673,-2.4065025,-3.6745002,-0.7540604,1180
-1.5206975936889648,-0.9540753364562988,0.021319976076483727,0.10068076103925705,-1.9888818,-3.2698145,-1.0720333,1190
-2.046473741531372,-1.0322558879852295,0.07141953706741333,0.07058314979076385,-1.2645142,-4.2219844,-1.2941477,1200
-1.6217635869979858,-1.0219045877456665,0.035023242235183716,0.06329918652772903,-1.4039153,-3.6684563,-1.3070962,1210
-1.6480066776275635,-1.0158400535583496,0.036472659558057785,0.09436243772506714,-2.1000476,-4.154875,-0.81101865,1220
-1.0313115119934082,-0.9519592523574829,0.022192014381289482,0.05998877063393593,-1.3227235,-3.7190824,-1.3478324,1230
-1.722353219985962,-0.8506098985671997,0.011460152454674244,0.08029552549123764,-1.7708242,-3.3105063,-1.1806191,1240
-1.8705974817276,-0.8514319658279419,0.007761371321976185,0.0732332244515419,-1.3474851,-2.7953663,-1.6178912,1250
-2.034615993499756,-0.8985536098480225,0.03686156123876572,0.16479483246803284,-2.5879467,-3.6483026,-0.67956334,1260
-2.0782148838043213,-0.9452989101409912,0.03208459913730621,0.06277412176132202,-1.360986,-3.6651993,-1.3354771,1270
-1.9335259199142456,-1.0207903385162354,0.014248883351683617,0.0710013136267662,-1.7013818,-3.6168036,-1.1372546,1280
-1.9703971147537231,-0.8764102458953857,0.0027210351545363665,0.06281718611717224,-1.3521129,-3.0184526,-1.5318766,1290
-2.009669542312622,-0.9564998745918274,0.02628379315137863,0.036143478006124496,-0.9402864,-3.8205714,-1.5886511,1300
-1.693052887916565,-0.7976487874984741,0.04121489077806473,0.07900618761777878,-2.234978,-3.8621485,-0.7946714,1310
-1.8737424612045288,-1.0162487030029297,0.04317289963364601,0.06444736570119858,-1.7666922,-4.340394,-0.96794313,1320
