A1 Return,A2 Return,A3 Return,Total Return,total_episode,total_numsteps
-70.93080480394997,-69.23080480394997,-70.73080480394997,-210.8924144118499,270,6775
-71.45092611364183,-71.35092611364182,-70.15092611364182,-212.95277834092548,280,7025
-80.79466504236402,-80.494665042364,-80.09466504236401,-241.38399512709202,290,7275
-72.9379683401498,-72.9379683401498,-72.9379683401498,-218.81390502044937,300,7525
-71.63776167066938,-70.93776167066937,-71.43776167066937,-214.01328501200814,310,7775
-68.23238016578848,-69.33238016578849,-70.2323801657885,-207.79714049736543,320,8025
-75.06557153657695,-75.26557153657696,-72.96557153657696,-223.29671460973086,330,8275
-63.32947857964454,-63.52947857964453,-63.32947857964454,-190.1884357389336,340,8525
-74.03854070688789,-74.13854070688788,-71.13854070688788,-219.31562212066365,350,8775
-68.41754043151414,-68.21754043151415,-67.91754043151414,-204.55262129454246,360,9025
-66.35390682589113,-66.25390682589114,-65.85390682589113,-198.4617204776734,370,9275
-63.10816042091085,-63.10816042091085,-62.108160420910835,-188.32448126273252,380,9525
-69.77390970501372,-70.37390970501372,-68.67390970501371,-208.82172911504114,390,9775
-68.94949607064551,-68.34949607064551,-68.34949607064551,-205.64848821193655,400,10025
-72.03421671618108,-71.83421671618107,-69.93421671618107,-213.80265014854322,410,10275
-71.55351251284318,-71.55351251284318,-70.15351251284319,-213.26053753852958,420,10525
-65.09539365919929,-65.29539365919929,-65.29539365919929,-195.68618097759787,430,10775
-71.73964987120658,-72.13964987120659,-71.23964987120658,-215.11894961361978,440,11025
-67.04578583794293,-67.04578583794293,-67.04578583794293,-201.13735751382882,450,11275
-76.45667846998205,-76.25667846998206,-75.55667846998206,-228.2700354099462,460,11525
-64.62091397907085,-65.62091397907085,-65.52091397907085,-195.76274193721255,470,11775
-72.28086408605228,-72.38086408605227,-72.58086408605227,-217.2425922581568,480,12025
-77.18774585214331,-76.38774585214331,-76.5877458521433,-230.1632375564299,490,12275
-73.4338672924047,-73.23386729240471,-73.73386729240471,-220.40160187721412,500,12525
-79.834905641355,-79.73490564135498,-79.23490564135498,-238.80471692406496,510,12775
-68.95066067153667,-69.15066067153666,-67.05066067153666,-205.15198201460998,520,13025
-65.8523269797083,-65.9523269797083,-65.5523269797083,-197.3569809391249,530,13275
-67.19277355181285,-67.59277355181285,-67.39277355181285,-202.17832065543857,540,13525
-67.5659444596229,-67.4659444596229,-67.5659444596229,-202.5978333788687,550,13775
-75.25542528198666,-77.65542528198667,-77.95542528198666,-230.86627584596,560,14025
-71.95246205588758,-71.65246205588758,-71.75246205588758,-215.35738616766275,570,14275
-78.92303507979489,-78.92303507979489,-77.82303507979489,-235.6691052393847,580,14525
-75.3947089924432,-75.3947089924432,-75.2947089924432,-226.08412697732962,590,14775
-72.74621034653816,-72.44621034653817,-72.44621034653815,-217.6386310396145,600,15025
-81.4686083591107,-82.36860835911071,-82.06860835911071,-245.9058250773321,610,15275
-77.44964392651329,-77.34964392651328,-77.64964392651328,-232.44893177953986,620,15525
-84.95562639955737,-84.75562639955737,-84.85562639955738,-254.56687919867213,630,15775
-81.71389196319461,-81.01389196319461,-80.8138919631946,-243.54167588958384,640,16025
-77.18869967795011,-77.28869967795012,-77.58869967795012,-232.06609903385032,650,16275
-73.75789320282922,-74.05789320282922,-74.35789320282922,-222.1736796084877,660,16525
-70.21663458764444,-70.41663458764444,-70.01663458764443,-210.64990376293332,670,16775
-70.3421089751624,-70.5421089751624,-70.3421089751624,-211.22632692548723,680,17025
-77.14762990585601,-76.947629905856,-77.247629905856,-231.342889717568,690,17275
-87.20759465721181,-86.60759465721182,-85.50759465721181,-259.32278397163543,700,17525
-77.57926408997115,-77.47926408997115,-77.77926408997115,-232.83779226991345,710,17775
-75.17178016662906,-73.47178016662906,-75.17178016662906,-223.81534049988718,720,18025
-80.10762777541905,-80.00762777541904,-80.10762777541905,-240.22288332625712,730,18275
-75.18185080737722,-74.68185080737722,-74.98185080737721,-224.84555242213165,740,18525
-69.5557865269848,-70.0557865269848,-70.0557865269848,-209.6673595809544,750,18775
-70.447639072324,-70.74763907232399,-70.84763907232399,-212.04291721697194,760,19025
