A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,alpha0,alpha1,alpha2,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,ent0,ent1,ent2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-85.4413760969464,-85.7413760969464,-85.5413760969464,0.3793288569301367,0.3500716800577939,0.48173983236402274,-256.7241282908392,1.0,1.0,1.0,-1.1411880254745483,-1.2552046179771423,-1.1455183625221252,4.090055465698242,3.8108878135681152,3.8381786346435547,-1.1411341428756714,-1.030531883239746,-1.1749162673950195,-0.9463075399398804,-1.008230209350586,-0.882003128528595,10,275
-75.75367365999622,-75.55367365999624,-75.75367365999622,0.09630407026968896,0.1423839704170823,0.1256271490380168,-227.06102097998868,1.0,1.0,1.0,-10.977987289428711,-10.491484642028809,-11.178910255432129,0.17657366394996643,0.17126567661762238,0.1528477817773819,-1.3204796314239502,-1.360830545425415,-1.3239341974258423,-5.4751973152160645,-5.494877815246582,-5.380066871643066,20,525
-79.22582046654834,-77.82582046654834,-79.22582046654834,0.11563542388938368,0.12011860109865666,0.10016325459815562,-236.277461399645,1.0,1.0,1.0,-17.32290744781494,-17.356307983398438,-17.99147605895996,0.15598870813846588,0.15533551573753357,0.15962831676006317,-1.3423798084259033,-1.3388735055923462,-1.3254531621932983,-8.741303443908691,-8.93228530883789,-8.791387557983398,30,775
-75.54888582878873,-75.34888582878872,-75.14888582878874,0.0734062643153593,0.05836251039430499,0.09298136550467462,-226.04665748636617,1.0,1.0,1.0,-24.557987213134766,-24.808313369750977,-25.156386375427246,0.24326995015144348,0.22683940827846527,0.20704440772533417,-1.3115692138671875,-1.3348274230957031,-1.3212696313858032,-12.353055000305176,-12.539663314819336,-12.425562858581543,40,1025
-72.01145330973458,-72.01145330973458,-71.31145330973457,0.05021579106431454,0.03599684521183372,0.031671775879338386,-215.3343599292037,1.0,1.0,1.0,-32.47128677368164,-31.61088275909424,-31.9623966217041,0.25848907232284546,0.21934305131435394,0.23073972761631012,-1.3107056617736816,-1.3223309516906738,-1.3346831798553467,-16.184831619262695,-15.902791023254395,-16.000001907348633,50,1275
-77.50186034478845,-77.60186034478845,-76.40186034478845,0.03609150214120746,0.025229726335499435,0.0320554719036445,-231.50558103436532,1.0,1.0,1.0,-37.76473045349121,-37.8846435546875,-37.49856758117676,0.2704513370990753,0.28920498490333557,0.20913732051849365,-1.3243097066879272,-1.3396453857421875,-1.3030112981796265,-19.016679763793945,-19.10733985900879,-18.80066680908203,60,1525
-65.22063786645093,-65.32063786645094,-65.82063786645094,0.020647155777318404,0.018465470992960035,0.015482642468763515,-196.3619135993528,1.0,1.0,1.0,-43.610063552856445,-43.3414249420166,-43.53728675842285,0.3473089337348938,0.30788132548332214,0.2799655795097351,-1.3047354221343994,-1.3774840831756592,-1.3619298934936523,-22.032495498657227,-21.670124053955078,-21.797508239746094,70,1775
-69.1445074359867,-69.04450743598673,-70.3445074359867,0.02929683597199619,0.03220965584553778,0.031247316591441632,-208.53352230796014,1.0,1.0,1.0,-48.32442665100098,-48.23540687561035,-48.57373237609863,0.3716822564601898,0.29661715030670166,0.27660641074180603,-1.3230018615722656,-1.3294529914855957,-1.3096070289611816,-24.182104110717773,-24.38636016845703,-24.3123722076416,80,2025
-75.483888667875,-75.88388866787498,-75.88388866787498,0.027870864231139422,0.013353344750590622,0.02076778856944293,-227.25166600362496,1.0,1.0,1.0,-52.360185623168945,-52.96463584899902,-52.925472259521484,0.40856626629829407,0.36913448572158813,0.3625227212905884,-1.3053629398345947,-1.3521755933761597,-1.2853038311004639,-26.252700805664062,-26.747425079345703,-26.322397232055664,90,2275
-75.80315269406739,-76.1031526940674,-76.1031526940674,0.020266485856845973,0.02024617960071191,0.017672042545862496,-228.00945808220223,1.0,1.0,1.0,-58.0203742980957,-57.40836715698242,-56.84865188598633,0.5193830728530884,0.4001500606536865,0.3618732988834381,-1.3262431621551514,-1.3104329109191895,-1.34131920337677,-29.27045249938965,-28.925010681152344,-28.45873260498047,100,2525
-69.34855935375079,-68.94855935375078,-69.34855935375079,0.014275570102501661,0.0160513332975097,0.013489420711062848,-207.64567806125234,1.0,1.0,1.0,-61.41562843322754,-61.71298027038574,-61.70553398132324,0.37930944561958313,0.3756704032421112,0.39736461639404297,-1.3146932125091553,-1.337725043296814,-1.3333508968353271,-30.774295806884766,-31.012704849243164,-30.72981071472168,110,2775
