A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,alpha0,alpha1,alpha2,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,ent0,ent1,ent2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-74.02893962631384,-73.42893962631385,-73.62893962631384,0.11236867763660849,0.18500845093280077,0.18044415639340877,-221.08681887894153,1.0,1.0,1.0,-3.4050298929214478,-3.378482222557068,-3.683783769607544,0.4460093379020691,0.26288625597953796,0.4420638084411621,-1.2187086343765259,-1.256394624710083,-1.2132222652435303,-1.8660728931427002,-1.7869489192962646,-1.6401442289352417,20,525
-74.87520563959438,-74.87520563959438,-74.87520563959438,0.004207391155679943,0.0031535395822720603,0.005325201525003649,-224.62561691878318,1.0,1.0,1.0,-6.499214172363281,-6.316464185714722,-6.344722032546997,0.027324672788381577,0.0547531433403492,0.04706839099526405,-1.377964973449707,-1.3588608503341675,-1.3653043508529663,-3.2322399616241455,-3.176903247833252,-3.092611789703369,30,775
-68.75052031991872,-68.85052031991873,-68.85052031991873,0.0007926716679648962,0.0011808918346650898,0.0011044496119138785,-206.45156095975616,1.0,1.0,1.0,-8.512789249420166,-8.90726375579834,-8.945087432861328,0.07087940722703934,0.06321126222610474,0.08541099727153778,-1.3591301441192627,-1.3658818006515503,-1.3603651523590088,-4.287476539611816,-4.586219787597656,-4.328939437866211,40,1025
-80.90014572481502,-80.70014572481503,-80.90014572481502,0.003007072352571413,0.0031346432915888727,0.004096545351436362,-242.50043717444504,1.0,1.0,1.0,-12.03645372390747,-11.988058090209961,-12.718996524810791,0.1166616901755333,0.11950165778398514,0.09977096319198608,-1.3582305908203125,-1.3612546920776367,-1.3495417833328247,-5.974465370178223,-6.201504230499268,-6.299254417419434,50,1275
-71.85724912448033,-72.15724912448033,-71.65724912448033,0.0023957993597723544,0.001693987170510809,0.0015611322426702828,-215.67174737344104,1.0,1.0,1.0,-15.0954909324646,-15.176525115966797,-15.649118900299072,0.19633318483829498,0.1771600991487503,0.15915676951408386,-1.3433549404144287,-1.3277324438095093,-1.3524835109710693,-7.54461145401001,-7.741405010223389,-7.711286544799805,60,1525
-70.29216441612975,-70.59216441612975,-70.59216441612975,0.0033180033073294908,0.0019439142027986235,0.0027954527197871356,-211.47649324838926,1.0,1.0,1.0,-18.251008987426758,-18.398727416992188,-18.686464309692383,0.20764867961406708,0.2728372812271118,0.236350879073143,-1.3607443571090698,-1.34261155128479,-1.3588004112243652,-9.168571472167969,-9.591888427734375,-9.199210166931152,70,1775
-65.07916864311252,-64.87916864311252,-63.27916864311252,0.001778592621179996,0.0014543260651407764,0.0021778903172235005,-193.23750592933757,1.0,1.0,1.0,-21.463537216186523,-21.719318389892578,-21.730396270751953,0.3194398283958435,0.2713056206703186,0.28852465748786926,-1.3473783731460571,-1.336851716041565,-1.3440141677856445,-10.813243865966797,-11.115184783935547,-10.705769538879395,80,2025
-70.52411235780325,-71.32411235780324,-72.42411235780324,0.0021151241175830365,0.0022575641903677026,0.002874507804575842,-214.27233707340974,1.0,1.0,1.0,-24.296524047851562,-26.07834529876709,-26.321945190429688,0.36167195439338684,0.3172556757926941,0.3474908769130707,-1.3404229879379272,-1.3252499103546143,-1.3313251733779907,-12.453341484069824,-13.283209800720215,-13.282601356506348,90,2275
-65.42066549514394,-65.42066549514394,-65.22066549514395,0.003081427350756712,0.0037109764128690588,0.003829289274872281,-196.06199648543185,1.0,1.0,1.0,-29.557016372680664,-29.867481231689453,-29.439449310302734,0.4484251141548157,0.3548562526702881,0.5420795679092407,-1.3261184692382812,-1.3099530935287476,-1.3348692655563354,-14.94028091430664,-15.066357612609863,-14.911735534667969,100,2525
-69.34627520025848,-68.74627520025847,-69.14627520025847,0.007076568197924644,0.003672595852869563,0.0065295756550040095,-207.2388256007754,1.0,1.0,1.0,-34.550954818725586,-34.36842155456543,-32.6668586730957,0.7134062051773071,0.43868890404701233,0.6840717792510986,-1.3249210119247437,-1.2790555953979492,-1.3209326267242432,-17.469432830810547,-17.0711612701416,-16.29102325439453,110,2775
