B1 Loss,B2 Loss,P1 Loss,P2 Loss,Play 1,Play 2,Return,total_numsteps
-0.6189654469490051,-0.24372407793998718,0.18935923278331757,0.014281225390732288,-2.8432808,6.463037,-12.093571,20
-0.3809783160686493,-0.6340680718421936,0.011534643359482288,1.6817213690956123e-05,-0.27527356,0.8027664,-4.977346,30
-0.4557942748069763,-0.6431926488876343,0.026621690019965172,0.0024056145921349525,0.4226663,-0.17940186,-4.6794205,40
-0.7260876893997192,-0.6659808158874512,0.00028048965032212436,0.004283662419766188,0.37604403,-0.69783187,-4.214267,50
-0.6481665968894958,-0.617924690246582,0.0011886333813890815,0.008677732199430466,0.3498493,-0.60904545,-4.2578998,60
-0.5256591439247131,-0.5291078686714172,0.012340113520622253,0.001851761480793357,-0.21617797,-0.51017815,-3.8260849,70
-0.6940479278564453,-0.6041996479034424,0.04525747895240784,0.009538949467241764,-0.5429486,0.5401677,-4.4941125,80
-0.523622989654541,-0.6070312857627869,0.060051094740629196,0.012028835713863373,-0.9318602,1.0270379,-4.6999946,90
-0.5425174832344055,-0.5132521986961365,0.06605865061283112,0.0018196250312030315,-1.1726644,1.233375,-4.755863,100
-0.5209461450576782,-0.6333039999008179,0.04496612772345543,0.010465258732438087,0.4094062,2.0785878,-7.0549407,110
-0.5661959648132324,-0.6758406162261963,0.057823020964860916,7.85596712375991e-05,1.4697701,2.6455834,-8.005802,120
-0.4553877115249634,-0.5857375264167786,0.048789430409669876,0.06353671848773956,1.2932696,3.7111182,-5.401066,130
-0.2229941040277481,-0.6018070578575134,0.05645158514380455,0.010870110243558884,2.040287,4.3350306,0.7979145,140
-0.3374219536781311,-0.47603869438171387,0.16016854345798492,0.1386331021785736,1.9075041,4.4801683,0.1662445,150
-0.31328022480010986,-0.45761922001838684,0.14672137796878815,0.04688042029738426,1.5349145,4.2381425,-2.587245,160
-0.35626286268234253,-0.5443580150604248,0.25670644640922546,0.1652490645647049,1.6254479,4.9327073,-1.3921309,170
-0.4122941195964813,-0.5082911849021912,0.1982281357049942,0.014886525459587574,1.5442314,5.0318108,-1.9433479,180
-0.302590012550354,-0.4527909755706787,0.1453361064195633,0.2096068412065506,2.5454676,4.988698,3.975143,190
-0.3581487536430359,-0.4575217664241791,0.16564157605171204,0.014474433846771717,2.5705466,4.7769375,4.0479994,200
-0.19678206741809845,-0.4417428970336914,0.033597420901060104,0.007520087994635105,3.2009096,4.935853,6.759159,210
-0.33570119738578796,-0.5455248951911926,0.172342911362648,0.012268029153347015,2.7617528,4.9827967,4.9899535,220
-0.3733142614364624,-0.5075255632400513,0.1478760540485382,0.0797903910279274,2.6612737,5.079549,4.524031,230
-0.40671974420547485,-0.4543096125125885,0.18846818804740906,0.08728309720754623,3.3788385,5.198689,7.3323584,240
-0.2789146900177002,-0.5488439202308655,0.20274604856967926,0.029385380446910858,3.2958097,4.773443,7.044408,250
-0.22144223749637604,-0.4576919376850128,0.09090745449066162,0.15538755059242249,2.7075167,4.784891,4.6982484,260
-0.3042689859867096,-0.4074539542198181,0.038807354867458344,0.15972456336021423,2.9646661,4.7188034,5.7783446,270
-0.3542933464050293,-0.5020924210548401,0.13559749722480774,0.031016601249575615,3.5166607,4.9800076,7.799305,280
-0.3212219178676605,-0.43161261081695557,0.1948382705450058,0.10286568850278854,3.4882302,4.9548388,7.712513,290
-0.3053932189941406,-0.4144003093242645,0.0739668533205986,0.137565016746521,3.4432297,4.9148855,7.5692215,300
-0.23293183743953705,-0.447874516248703,0.15183301270008087,0.052305400371551514,4.0761795,5.2364902,9.090628,310
-0.24661877751350403,-0.33673807978630066,0.08413273841142654,0.15391479432582855,3.7474074,5.6851397,7.9615955,320
-0.18936415016651154,-0.29489731788635254,0.10095211118459702,0.06310547888278961,4.3677015,5.9473467,8.702733,330
-0.23047977685928345,-0.38506901264190674,0.05499079078435898,0.09823306649923325,4.4450717,5.5245156,9.416938,340
-0.1954890638589859,-0.44750794768333435,5.952562059974298e-05,0.05610043182969093,4.2515697,5.5904827,9.091183,350
-0.34385085105895996,-0.3223832845687866,0.05135340616106987,0.043265700340270996,4.518139,5.9507265,8.863929,360
-0.31620076298713684,-0.4128282368183136,0.0956483706831932,0.08613967895507812,4.685275,6.0317965,8.836344,370
-0.2737824320793152,-0.29528582096099854,0.0032101930119097233,0.05992088466882706,4.79951,5.825101,9.279013,380
-0.24237103760242462,-0.2854442596435547,0.009654778987169266,0.05573473125696182,4.7835727,6.2156396,8.47538,390
-0.17415490746498108,-0.25789278745651245,0.004636356607079506,0.05690724402666092,5.212741,6.512004,7.668586,400
-0.20633742213249207,-0.3740188777446747,0.011389100924134254,0.04137818515300751,5.1155453,6.585922,7.4715014,410
-0.17297379672527313,-0.3456698954105377,0.0007917929906398058,0.04642589017748833,5.2109785,5.5519285,9.650863,420
-0.15079782903194427,-0.31487807631492615,0.00011693510168697685,0.04315095767378807,5.122771,5.5725813,9.657078,430
-0.18744851648807526,-0.37193650007247925,0.008193869143724442,0.06633497774600983,4.9306254,5.82934,9.307383,440
-0.1488826423883438,-0.3918237090110779,0.0009309224551543593,0.0487629771232605,5.2332764,5.7896175,9.322086,450
-0.17593778669834137,-0.4028676450252533,0.001228855922818184,0.020400309935212135,5.2035356,5.9573555,9.042044,460
-0.1692439615726471,-0.24914422631263733,0.0007341917953453958,0.0560385137796402,5.211144,5.6592364,9.520825,470
-0.12363291531801224,-0.3183808922767639,3.24878710671328e-05,0.0370943509042263,5.2034407,5.9414773,9.072232,480
-0.20096082985401154,-0.22624051570892334,0.003814858151599765,0.04864795506000519,5.4135447,5.9487123,8.9289255,490
-0.19210870563983917,-0.2934205234050751,0.00023681658785790205,0.040953829884529114,5.1165743,5.8281207,9.300627,500
-0.12467338144779205,-0.24502837657928467,0.0013367338106036186,0.02363235503435135,5.533019,6.0318093,8.65126,510
-0.13774721324443817,-0.21848365664482117,0.0001677813270362094,0.06521807610988617,5.178097,6.04991,8.865971,520
-0.10283643007278442,-0.3410763442516327,2.4450584987789625e-06,0.02898481860756874,5.1725683,5.9884863,8.993115,530
-0.15548542141914368,-0.32532694935798645,0.0011638139840215445,0.02371285669505596,5.2771254,5.4505343,9.720221,540
-0.23627403378486633,-0.36475086212158203,0.000478618370834738,0.030003756284713745,5.3187733,5.755756,9.327217,550
-0.3007453978061676,-0.3049648404121399,0.0051313950680196285,0.02876473031938076,5.519491,6.2665753,8.125916,560
