A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,alpha0,alpha1,alpha2,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,ent0,ent1,ent2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-70.69730856375087,-70.69730856375087,-70.69730856375087,0.026499276846065185,0.02475424468703568,0.028512327313423156,-212.0919256912526,1.0810794830322266,1.089751958847046,1.087315320968628,-2.2017931938171387,-2.514763593673706,-2.609847068786621,4.580128192901611,4.750245094299316,4.51462459564209,-1.352413535118103,-1.352764368057251,-1.3614366054534912,-1.4519059658050537,-1.295072078704834,-1.360887050628662,20,525
-76.05572001660619,-76.05572001660619,-76.05572001660619,0.003733631479437463,0.004103438000136521,0.007219559610821307,-228.16716004981853,0.39532315731048584,0.4548966884613037,0.5354331731796265,-9.560434818267822,-9.647340774536133,-9.205220222473145,0.17952534556388855,0.14910271763801575,0.16117778420448303,-1.3646583557128906,-1.3515361547470093,-1.3687270879745483,-4.745235919952393,-4.587243556976318,-4.746524810791016,30,775
-77.77344907765887,-79.67344907765887,-78.27344907765887,0.03178714889055118,0.04375520150316879,0.05240976857766509,-235.72034723297662,0.1506912112236023,0.1539676934480667,0.17881953716278076,-15.331567287445068,-15.420081615447998,-15.73009204864502,0.375068724155426,0.43448519706726074,0.3241206705570221,-0.9484257698059082,-1.0779261589050293,-1.203497052192688,-7.862259387969971,-7.887109756469727,-7.923437118530273,40,1025
-78.75869769230965,-78.55869769230966,-79.05869769230966,0.0548799849729985,0.050177229360677304,0.0315788693993818,-236.37609307692895,0.17454935610294342,0.14860540628433228,0.14848707616329193,-21.895282745361328,-21.67249870300293,-21.20077896118164,0.5520437359809875,0.6036221981048584,0.4716295301914215,-1.028136134147644,-0.9294165372848511,-0.9559934735298157,-10.691848754882812,-10.757720947265625,-10.801980018615723,50,1275
-66.40130135294169,-67.90130135294169,-68.0013013529417,0.030486436130478977,0.03941262444108724,0.05205395049788058,-202.30390405882508,0.22912588715553284,0.17563554644584656,0.18818627297878265,-27.853238105773926,-27.85086154937744,-28.839390754699707,0.5481742024421692,0.6653387546539307,0.8048908710479736,-1.0095436573028564,-0.9680110216140747,-0.9709584712982178,-14.19627571105957,-14.441483497619629,-14.240644454956055,60,1525
-76.76051577833434,-76.86051577833435,-76.76051577833434,0.0392906628116034,0.04129229461029172,0.028390303920954464,-230.38154733500306,0.2703177332878113,0.20772379636764526,0.2159906029701233,-33.498878479003906,-33.32488250732422,-33.81037712097168,0.608390748500824,0.6582415103912354,0.6691125631332397,-1.0093024969100952,-1.0189480781555176,-1.0265339612960815,-17.325225830078125,-16.722782135009766,-17.120332717895508,70,1775
-65.62601330125221,-65.92601330125221,-64.52601330125222,0.04563907582592219,0.04128188384557143,0.04187807181896642,-196.07803990375663,0.28925177454948425,0.21869543194770813,0.2533556818962097,-38.584821701049805,-39.02710723876953,-39.355459213256836,0.5619667172431946,0.4454912543296814,0.7398145794868469,-0.9586559534072876,-0.9736500382423401,-0.9662395715713501,-20.155649185180664,-19.451921463012695,-19.04680061340332,80,2025
-72.97347311390985,-71.57347311390984,-72.67347311390985,0.05006924125738442,0.04817175454203971,0.04208559837564826,-217.22041934172952,0.30052950978279114,0.22089312970638275,0.2540091276168823,-44.47581672668457,-44.69971466064453,-44.076921463012695,0.8654953837394714,0.8687676787376404,0.7716466784477234,-0.991908609867096,-1.033926248550415,-1.0002720355987549,-22.133480072021484,-22.451068878173828,-22.539688110351562,90,2275
-68.63113059890885,-68.33113059890886,-68.63113059890885,0.05854016991145909,0.036843036993406714,0.04418209385871887,-205.59339179672656,0.3259812593460083,0.23720312118530273,0.26060470938682556,-48.3757381439209,-48.40862846374512,-47.59055519104004,0.5771603584289551,0.9171090722084045,0.8080927133560181,-0.8811292052268982,-0.9496090412139893,-1.0446066856384277,-24.295806884765625,-23.995861053466797,-24.561771392822266,100,2525
-68.49557544188403,-70.69557544188402,-70.69557544188402,0.058534832566976544,0.03844265174306929,0.039742344590835275,-209.8867263256521,0.3352320194244385,0.2496989369392395,0.260768860578537,-52.10675621032715,-52.32645034790039,-52.60274314880371,0.7390638589859009,0.9027295112609863,0.8483982086181641,-0.988937497138977,-1.0028319358825684,-1.0505115985870361,-26.354904174804688,-26.877153396606445,-26.196937561035156,110,2775
-67.9769772293921,-67.67697722939211,-67.7769772293921,0.051701214229920876,0.05403326047118753,0.05038980460120365,-203.43093168817632,0.36358121037483215,0.28793594241142273,0.25548380613327026,-56.07844352722168,-57.9482364654541,-56.384307861328125,0.6334681510925293,0.7498648166656494,0.859057605266571,-0.962326169013977,-0.914103627204895,-0.897738516330719,-28.98105239868164,-28.1826171875,-28.513078689575195,120,3025
-74.61683785747411,-74.81683785747411,-74.81683785747411,0.08606819541100412,0.07971827655658126,0.052334368440322576,-224.25051357242236,0.3680235743522644,0.30314818024635315,0.2548885643482208,-60.56500244140625,-59.583364486694336,-59.23698425292969,1.05367112159729,0.5857818126678467,1.0681618452072144,-1.0367567539215088,-0.9346511363983154,-0.935451865196228,-29.65294647216797,-30.152048110961914,-30.12291717529297,130,3275
-72.94469094623035,-72.54469094623035,-73.74469094623035,0.07441057875752449,0.06388333320152015,0.05152255939436145,-219.23407283869105,0.3792705237865448,0.32078126072883606,0.25530949234962463,-63.38052940368652,-62.55219841003418,-63.00307846069336,1.0804696083068848,1.1772797107696533,0.901766300201416,-1.011169672012329,-1.0328024625778198,-0.9953635334968567,-31.199052810668945,-32.04144287109375,-31.33616065979004,140,3525
