Play 1,Play 2,Return,total_numsteps
-1.4967725,0.3079194,-3.5952547,63
0.002313708,-3.316774,-2.4761238,64
2.8905652,-4.307368,-5.5769553,65
3.7252114,-1.9537084,-7.591929,66
2.8835633,0.09120351,-7.8285265,67
1.6972704,0.6333283,-6.8078065,68
1.4504869,0.04789547,-5.963559,69
1.1364458,-0.9503473,-4.804947,70
0.62099487,-2.6047096,-3.3184888,71
0.22869852,-3.4026227,-2.656969,72
0.6696636,-3.0582812,-3.192476,73
1.2432004,-1.8969076,-4.3205986,74
0.8467198,-0.13007987,-5.1466894,75
0.08299172,1.6844105,-6.2682796,76
-0.36432737,3.0166771,-7.6228065,77
-0.21365187,3.2409704,-8.073132,78
0.12042308,2.6953146,-7.594364,79
0.23896949,1.878303,-6.645143,80
0.58722264,0.7208618,-5.684028,81
1.0321038,-0.34610188,-5.1595592,82
1.2738942,-0.7887454,-5.075237,83
1.2546444,-0.83186567,-5.0216823,84
1.0632787,-0.5051651,-5.0637236,85
0.5728766,-0.14662983,-4.8544135,86
0.17980084,0.27128765,-4.8548274,87
0.1261519,0.4628678,-4.9884763,88
0.25182787,0.63587785,-5.2750945,89
0.6088352,0.82301146,-5.810355,90
0.9841586,1.1191804,-6.5115137,91
1.169816,1.2994275,-6.91106,92
1.0671247,1.3181219,-6.8203263,93
0.8922597,1.3408127,-6.659967,94
0.7414745,1.2512548,-6.403798,95
0.3627262,1.3189918,-6.1056437,96
0.42513743,1.277679,-6.119233,97
0.41934407,1.4273875,-6.28272,98
0.46205893,1.333155,-6.217151,99
0.50441456,1.2791127,-6.1978526,100
0.7928938,1.1859772,-6.3843493,101
0.93897367,1.1889467,-6.5399528,102
1.035574,1.2870078,-6.7515216,103
1.1749203,1.3424469,-6.9650016,104
1.313906,1.4296062,-7.2182436,105
1.4967734,1.5273728,-7.539081,106
1.6283107,1.5668286,-7.738466,107
1.8107079,1.5654769,-7.9547763,108
1.9504387,1.5891225,-8.153345,109
2.0569494,1.5083224,-8.191894,110
2.3585198,1.458996,-8.5214615,111
2.6178193,1.5432686,-7.6237755,112
2.8653917,1.666084,-5.671549,113
3.4641528,1.8063517,-2.558216,114
3.6196752,1.8717487,-1.6912527,115
3.7478662,1.9237566,-1.0311127,116
3.7032306,1.9163191,-1.1906986,117
3.3220139,2.1313562,-1.044755,118
3.034829,2.4094453,-0.5728712,119
2.810489,2.5943513,-0.5811043,120
2.4615948,2.842011,-1.1004181,121
2.4500701,2.8981712,-0.9198265,122
2.4056873,2.7985382,-1.5768929,123
2.420611,2.565017,-2.5823908,124
2.550716,2.4038355,-2.7390623,125
2.736556,2.452084,-1.6150541,126
2.7478971,2.268048,-2.5355282,127
2.948493,2.252482,-1.7575359,128
3.1144726,2.3027134,-0.8305683,129
3.125908,2.2279408,-1.1965332,130
3.1896825,2.0284662,-2.1072626,131
3.4104087,1.906402,-2.097148,132
4.084127,1.9162022,-0.3486328,133
4.5438666,1.9597185,0.5486307,134
5.0559874,1.8834935,0.28425217,135
4.6860476,1.91903,0.40905762,136
