A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,alpha0,alpha1,alpha2,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,ent0,ent1,ent2,policy_loss0,policy_loss1,policy_loss2,prior_loss0,prior_loss1,prior_loss2,total_episode,total_numsteps
-89.44421639448,-89.44421639448,-89.54421639448,0.6460927720069886,0.6761200267076493,0.8223413750529289,-268.43264918344,1.0,1.0,1.0,-2.7642370462417603,2.4200268387794495,4.851160824298859,226.0448455810547,91.83918762207031,98.97860717773438,-1.1963403224945068,-1.1376643180847168,-1.1648262739181519,0.5085272192955017,0.5922665596008301,0.47741103172302246,-3.380744695663452,-0.3958219289779663,-1.330515742301941,10,275
-77.24232173502402,-76.54232173502402,-77.24232173502402,0.38763936841487884,0.44864849239587784,0.269455609690398,-231.02696520507206,1.0,1.0,1.0,1.3781093955039978,0.38829389214515686,0.989906907081604,7.370405673980713,4.279314041137695,6.638298988342285,-1.2087984085083008,-1.3333277702331543,-1.2956279516220093,2.4949707984924316,0.24876445531845093,0.1525244116783142,-2.082263946533203,-0.40759262442588806,-1.4703941345214844,20,525
-82.29775695620924,-82.19775695620925,-83.79775695620924,0.22863543122261762,0.28842029710114003,0.2323814093247056,-248.29327086862773,1.0,1.0,1.0,2.6405097246170044,0.6267540156841278,-0.6789205074310303,4.990392684936523,4.968841552734375,3.784625768661499,-1.2790557146072388,-1.3403228521347046,-1.3194526433944702,3.000098943710327,0.27718502283096313,0.33899199962615967,-1.5877728462219238,-0.24202129244804382,-0.5229788422584534,30,775
-72.69827860155684,-72.79827860155685,-72.99827860155685,0.18430203788727523,0.23341079964488745,0.29874083438515664,-218.49483580467054,1.0,1.0,1.0,4.229193210601807,0.8100621402263641,0.2995878905057907,9.1756010055542,6.091949939727783,4.740372657775879,-1.2991325855255127,-1.323217749595642,-1.3289183378219604,2.8186264038085938,-0.04988941550254822,-0.14123038947582245,-0.8347769975662231,0.11227284371852875,-0.21791748702526093,40,1025
-70.69789012231149,-70.69789012231149,-70.0978901223115,0.1495865048561245,0.14707175394892694,0.19777401082590224,-211.49367036693448,1.0,1.0,1.0,3.3125354051589966,-0.545137420296669,-0.233289897441864,11.178852081298828,4.051348686218262,5.252628326416016,-1.2743606567382812,-1.3135449886322021,-1.3185197114944458,1.8366210460662842,-0.4196833372116089,-0.6062669157981873,-0.4025840163230896,0.4538918733596802,-0.32575446367263794,50,1275
-73.24776659208811,-73.14776659208812,-73.04776659208811,0.14610273369029164,0.11695015005767345,0.12711821893043815,-219.44329977626435,1.0,1.0,1.0,1.7042452096939087,-2.6195080280303955,-1.865343987941742,5.013835430145264,4.576934814453125,12.953311920166016,-1.2328308820724487,-1.275428295135498,-1.2947206497192383,1.4185024499893188,-1.5853930711746216,-1.3794914484024048,-0.24337320029735565,0.2778644263744354,-0.16434775292873383,60,1525
-67.41689221798477,-67.11689221798477,-67.11689221798477,0.10621138592995703,0.11643328176811338,0.11219803033769131,-201.6506766539543,1.0,1.0,1.0,-1.4411466717720032,-2.7744332551956177,-1.6912940740585327,7.485044002532959,2.5365452766418457,5.898501396179199,-1.2642402648925781,-1.23830246925354,-1.2196271419525146,-0.017247773706912994,-1.3420579433441162,-1.287595272064209,-0.3357979655265808,0.16740557551383972,-0.07648692280054092,70,1775
-71.35485351453897,-71.75485351453898,-71.75485351453898,0.18712539681047202,0.20616679652780295,0.17271471996326,-214.86456054361693,1.0,1.0,1.0,-0.6491081714630127,-3.9354145526885986,-4.702998399734497,34.63407516479492,12.386041641235352,3.490175247192383,-1.2023910284042358,-1.2488672733306885,-1.2336418628692627,-0.6530888676643372,-2.6946499347686768,-2.500216245651245,-0.08967846632003784,0.32853811979293823,0.003771915566176176,80,2025
-72.58719450929658,-72.7871945092966,-74.0871945092966,0.12340324256941676,0.12949065381195396,0.16313796381652354,-219.4615835278898,1.0,1.0,1.0,-5.938223838806152,-5.009090185165405,-7.729918003082275,9.584271430969238,3.742185592651367,7.436120986938477,-1.1777526140213013,-1.2876410484313965,-1.2068047523498535,-2.198948860168457,-2.9062681198120117,-4.25218391418457,-0.3448828458786011,0.4187411665916443,0.24367642402648926,90,2275
-76.39386732249474,-78.19386732249471,-78.09386732249472,0.12687953977286814,0.11685176591575146,0.1442913418263197,-232.68160196748417,1.0,1.0,1.0,-6.991283416748047,-8.060925006866455,-8.196105003356934,4.376716613769531,5.419887542724609,4.298101425170898,-1.1958552598953247,-1.1559991836547852,-1.2017693519592285,-3.4379475116729736,-4.698038578033447,-4.413930416107178,0.21575060486793518,0.38294386863708496,0.08215413987636566,100,2525
-69.22057750287429,-70.4205775028743,-70.62057750287428,0.08689164631254971,0.1294263258203864,0.07863404240924865,-210.26173250862286,1.0,1.0,1.0,-6.6604039669036865,-9.901078224182129,-9.893925189971924,3.668233871459961,4.879218101501465,3.7721145153045654,-1.2157433032989502,-1.2477740049362183,-1.2103297710418701,-2.896195411682129,-5.634644031524658,-5.367156028747559,-0.24979667365550995,0.2657887935638428,0.07956444472074509,110,2775
-64.76848839242739,-64.96848839242739,-64.1684883924274,0.08235044758021831,0.07883694303035736,0.10282610627263784,-193.90546517728217,1.0,1.0,1.0,-6.192726373672485,-8.8804612159729,-13.191823959350586,5.033631324768066,7.455318927764893,3.8138294219970703,-1.1913845539093018,-1.210387110710144,-1.1995230913162231,-3.0621795654296875,-5.244482517242432,-6.957484245300293,-0.06463465839624405,0.3283519148826599,0.23627038300037384,120,3025
-64.74268653905128,-64.94268653905127,-65.04268653905127,0.08211292985454202,0.11115761815570295,0.10133442629128694,-194.7280596171538,1.0,1.0,1.0,-8.044190406799316,-11.29672908782959,-13.101550579071045,8.036123275756836,4.203135967254639,5.079432964324951,-1.2492659091949463,-1.1787021160125732,-1.0971750020980835,-4.198751926422119,-6.367717266082764,-7.009644031524658,0.13278944790363312,0.30745622515678406,0.16537199914455414,130,3275
-63.80253620552685,-63.602536205526846,-64.20253620552685,0.10555649545788764,0.12634708024188876,0.10813352602720261,-191.60760861658053,1.0,1.0,1.0,-7.926226377487183,-11.751163482666016,-13.97009801864624,5.485755920410156,9.146893501281738,8.129168510437012,-1.1619101762771606,-1.1426303386688232,-1.1428426504135132,-3.966993808746338,-6.915011882781982,-7.491734981536865,0.1805121898651123,0.29382026195526123,0.41110512614250183,140,3525
-62.897562006904515,-63.397562006904515,-63.09756200690451,0.1041712549328804,0.08491462454199791,0.09546504510566592,-189.39268602071354,1.0,1.0,1.0,-11.72627305984497,-13.538955688476562,-13.184727668762207,8.468963623046875,6.88181734085083,5.847073554992676,-1.1890404224395752,-1.088558316230774,-1.139434576034546,-6.841095447540283,-7.689315319061279,-7.179912567138672,0.22320438921451569,0.21301530301570892,0.09034691005945206,150,3775
