A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-70.14935140328065,-70.14935140328065,-70.14935140328065,0.02565416522277519,0.026659677961841224,0.029321593437343835,-210.44805420984193,-0.012108862400054932,-0.20421546697616577,-1.1242032647132874,4.668407917022705,4.53565788269043,7.620600700378418,-0.6488524675369263,-0.5713495016098022,-0.06641319394111633,20,525
-75.60742794491435,-75.80742794491435,-75.30742794491435,0.003193791876314208,0.0019926950266817584,0.005886314204661175,-226.72228383474308,-9.64075517654419,-9.986079692840576,-9.818263053894043,0.13911300897598267,0.14755380153656006,0.154039204120636,-5.056451320648193,-4.7668280601501465,-4.922285079956055,30,775
-73.87363224854764,-73.87363224854764,-72.07363224854764,0.0069809958420228215,0.013180122680962086,0.011072581141255797,-219.82089674564295,-17.565253257751465,-17.159936904907227,-17.177804946899414,0.14099225401878357,0.25564321875572205,0.2800324261188507,-8.724725723266602,-8.402442932128906,-8.9747896194458,40,1025
-82.54898965977785,-82.34898965977786,-82.54898965977785,0.01928295698389411,0.034535388242919,0.03687808046542341,-247.44696897933355,-25.5416898727417,-24.520495414733887,-23.877042770385742,0.4671092629432678,0.3227703869342804,0.34419023990631104,-12.067856788635254,-12.080541610717773,-12.634437561035156,50,1275
-66.37385486223197,-66.97385486223196,-66.97385486223196,0.00811866351403296,0.02936215382441878,0.029849822390824555,-200.32156458669587,-30.796443939208984,-30.47471523284912,-31.156834602355957,0.3577292859554291,0.4171769917011261,0.7238646149635315,-14.940845489501953,-15.813210487365723,-15.554643630981445,60,1525
-69.4970203398886,-69.9970203398886,-69.9970203398886,0.03211470245663077,0.06490073934569955,0.05948237189766951,-209.4910610196658,-38.01550102233887,-37.54867935180664,-38.60158920288086,0.44263899326324463,0.5017465949058533,0.932429850101471,-19.347476959228516,-19.181015014648438,-18.890533447265625,70,1775
-65.74651888920013,-65.94651888920012,-64.34651888920013,0.018658588501624763,0.043263628080487254,0.04303981010243297,-196.03955666760038,-43.38151550292969,-42.070945739746094,-42.898563385009766,0.8015141487121582,0.5443739891052246,1.8678054809570312,-20.960693359375,-22.147550582885742,-21.308141708374023,80,2025
-69.13151070473207,-67.43151070473206,-68.73151070473207,0.016670321570709346,0.05100220343656838,0.04017442759405822,-205.29453211419622,-47.62242126464844,-47.64465522766113,-47.4240665435791,0.6977906227111816,0.7857829332351685,0.7147617936134338,-22.766468048095703,-24.273357391357422,-24.759857177734375,90,2275
-72.22552932330032,-72.42552932330031,-72.42552932330031,0.031067310184240342,0.05844934233650565,0.06703038210421801,-217.07658796990094,-53.80693054199219,-52.36892318725586,-53.19602584838867,0.7626007795333862,0.579856276512146,0.45373255014419556,-25.090885162353516,-27.202489852905273,-26.43274688720703,100,2525
-70.09465759714078,-70.09465759714078,-70.29465759714078,0.015903006431180984,0.07831727801635861,0.07364598863758147,-210.48397279142236,-56.42661094665527,-55.6299934387207,-56.86929893493652,1.1354254484176636,1.0005815029144287,0.6285982728004456,-26.902029037475586,-28.81023597717285,-29.01193618774414,110,2775
-70.42439075301657,-70.42439075301657,-70.42439075301657,0.03402905513718724,0.07774853024445474,0.06366196388751269,-211.27317225904972,-62.949480056762695,-62.02050590515137,-58.945634841918945,1.240207552909851,0.5578356981277466,1.9308991432189941,-30.060354232788086,-30.547351837158203,-31.17694091796875,120,3025
-72.72669612774064,-74.62669612774064,-74.62669612774064,0.034166795148514215,0.08729075909405946,0.08462514755059965,-221.98008838322193,-66.05242919921875,-63.65792655944824,-64.42289161682129,0.9886945486068726,0.7947878837585449,1.0210168361663818,-31.29867935180664,-33.35289764404297,-32.30181884765625,130,3275
-65.44460138419969,-66.24460138419968,-66.14460138419969,0.03552222567686113,0.08818436793610454,0.09320772996544838,-197.83380415259907,-67.97529983520508,-67.5754623413086,-66.02571868896484,1.0546733140945435,1.2971750497817993,0.7447955012321472,-32.07862854003906,-33.99247741699219,-34.15236282348633,140,3525
-68.39615087034244,-68.49615087034243,-68.89615087034244,0.0395386008862406,0.07677058933489024,0.09458052650652826,-205.78845261102728,-70.79402923583984,-69.64501953125,-70.34859085083008,1.327783465385437,0.9378291368484497,0.93440842628479,-34.161991119384766,-35.255672454833984,-35.284934997558594,150,3775
-72.0388196140922,-72.2388196140922,-72.4388196140922,0.03549896518327296,0.07377193981409073,0.09716517712175846,-216.7164588422766,-72.52264785766602,-72.91164779663086,-72.76207733154297,1.4961798191070557,0.6824500560760498,0.6467747688293457,-35.339378356933594,-37.0264778137207,-36.806915283203125,160,4025
-66.92654662588646,-66.82654662588646,-67.12654662588646,0.039420011459849774,0.04932518057222478,0.06015508555434644,-200.87963987765937,-72.96977233886719,-73.30059051513672,-73.44385147094727,1.5083699226379395,0.9922276139259338,1.1588523387908936,-35.47229766845703,-36.880191802978516,-37.40270233154297,170,4275
