A1 Return,A2 Return,A3 Return,Agent 1 Prediction Loss,Agent 2 Prediction Loss,Agent 3 Prediction Loss,Total Return,belief_loss0,belief_loss1,belief_loss2,critic_loss0,critic_loss1,critic_loss2,policy_loss0,policy_loss1,policy_loss2,total_episode,total_numsteps
-80.24562555318863,-80.04562555318863,-80.04562555318863,0.29328927176445724,0.18307739639282228,0.12112870376557111,-240.33687665956592,-4.35949444770813,-4.311854600906372,-4.4255335330963135,1.3525522947311401,1.0284345149993896,2.039041519165039,-2.1441376209259033,-2.12656831741333,-2.135957717895508,10,275
-79.74824253805943,-81.54824253805944,-78.94824253805943,0.013902768046827987,0.011513324824161827,0.00919920084020123,-240.2447276141783,-11.080564498901367,-11.090267658233643,-11.337713718414307,0.14503097534179688,0.11204700171947479,0.0902039036154747,-5.298283576965332,-5.526393413543701,-5.510907173156738,20,525
-69.60469224966566,-69.40469224966566,-69.60469224966566,0.012242906145751476,0.01017117935512215,0.015898274182807655,-208.614076748997,-18.381244659423828,-17.983160972595215,-18.378747940063477,0.1578112244606018,0.16637387871742249,0.1980617791414261,-8.862285614013672,-9.232230186462402,-8.926126480102539,30,775
-75.82361817599886,-75.42361817599887,-75.62361817599887,0.012096262753941118,0.008364473874215036,0.0083676431204658,-226.8708545279966,-26.04935646057129,-25.860655784606934,-26.524028778076172,0.26794949173927307,0.18190309405326843,0.2064284086227417,-12.884368896484375,-13.189248085021973,-13.163134574890137,40,1025
-75.54471556628296,-75.44471556628295,-75.24471556628296,0.012500009010080249,0.018319985431618988,0.008827945686411112,-226.23414669884886,-33.133859634399414,-32.979413986206055,-32.9930534362793,0.20150497555732727,0.23199719190597534,0.23711052536964417,-16.271446228027344,-16.72704315185547,-15.939693450927734,50,1275
-71.58257113624127,-71.58257113624127,-72.08257113624127,0.01477409136435017,0.019820644148625433,0.009930614204611629,-215.2477134087238,-38.95904541015625,-38.262590408325195,-38.64529609680176,0.2866485118865967,0.24910259246826172,0.34263843297958374,-19.106435775756836,-19.272972106933594,-19.306297302246094,60,1525
-64.49693464150705,-62.89693464150705,-64.89693464150704,0.018561705886851996,0.014910179655125831,0.0104274128183024,-192.29080392452116,-45.61964416503906,-43.94078254699707,-43.943424224853516,0.4589673578739166,0.3465004861354828,0.32343533635139465,-22.26722526550293,-21.762535095214844,-22.4532527923584,70,1775
-68.71941231392158,-67.71941231392158,-69.11941231392157,0.02907295841909945,0.015596414138679392,0.017074468465987595,-205.55823694176473,-50.2420654296875,-50.28266906738281,-49.174936294555664,0.4940928816795349,0.379830926656723,0.5018255710601807,-24.106327056884766,-25.156272888183594,-24.959035873413086,80,2025
-71.6426226644238,-70.9426226644238,-69.0426226644238,0.020902988669928162,0.01594778301590122,0.018180204583797602,-211.62786799327142,-54.87330436706543,-55.03634071350098,-54.81684494018555,0.46189743280410767,0.4933678209781647,0.42555883526802063,-27.315349578857422,-26.735013961791992,-27.07648468017578,90,2275
-71.57590667110352,-71.27590667110351,-70.87590667110352,0.029939493658021094,0.02651361598679796,0.021855931230355053,-213.72772001331055,-59.84084129333496,-59.23427772521973,-58.98556327819824,0.4338698983192444,0.5616039037704468,0.5203242301940918,-29.903982162475586,-29.344457626342773,-29.711681365966797,100,2525
-66.2555574321286,-65.3555574321286,-64.8555574321286,0.018742794796591626,0.018826897968538106,0.016294115530559792,-196.4666722963858,-63.215431213378906,-62.7399959564209,-64.49847793579102,0.5051134824752808,0.5981699824333191,0.43181994557380676,-31.026702880859375,-31.47708511352539,-32.51731872558594,110,2775
-65.38989742659854,-64.48989742659853,-63.78989742659853,0.021036866324488073,0.019256310163997113,0.015027295703766867,-193.66969227979558,-67.12548446655273,-66.70214080810547,-66.69421005249023,0.5982465744018555,0.6715987920761108,0.7577559351921082,-33.08659362792969,-32.645263671875,-33.58251953125,120,3025
-65.07261495800546,-64.27261495800545,-64.47261495800545,0.021134047163417564,0.030251314057735727,0.02642584611941129,-193.81784487401637,-70.44990539550781,-71.68131256103516,-71.1086654663086,0.7137050032615662,0.7446523904800415,0.5898364782333374,-35.24843215942383,-35.13859939575195,-35.79362487792969,130,3275
-64.41748059074862,-64.01748059074863,-63.31748059074863,0.026120934730395676,0.017373740422539412,0.018793162520974873,-191.7524417722459,-71.7642593383789,-74.21728515625,-74.49202728271484,0.7292187809944153,0.7667181491851807,0.8127017617225647,-36.113956451416016,-36.75746154785156,-36.591217041015625,140,3525
-65.61849060793035,-64.61849060793035,-64.31849060793036,0.024630358772818,0.02326162032689899,0.027028321587480603,-194.55547182379107,-74.0380973815918,-75.6192626953125,-76.09725570678711,0.6022098064422607,0.5481477379798889,0.6026754975318909,-36.97819519042969,-38.147342681884766,-37.29048156738281,150,3775
-72.80750918828195,-72.10750918828197,-72.20750918828196,0.03316528644179925,0.021245473003014922,0.03444038045936031,-217.12252756484585,-77.27188491821289,-78.02497863769531,-78.0498046875,0.5573856830596924,0.7632458209991455,0.6893956661224365,-39.081932067871094,-37.668067932128906,-38.54393768310547,160,4025
-66.16849710169355,-66.06849710169355,-65.76849710169355,0.028238722124602645,0.026982324952026827,0.03051999397558393,-198.00549130508065,-80.72428131103516,-79.54925155639648,-78.98218536376953,0.7935311794281006,0.8860875368118286,0.48628777265548706,-39.238006591796875,-39.827537536621094,-39.13529968261719,170,4275
-70.15877802307513,-72.15877802307514,-72.35877802307513,0.03437427825666964,0.02809453897178173,0.023916049579624087,-214.67633406922542,-82.8610954284668,-81.12950897216797,-81.81304931640625,0.8212453126907349,0.7214916944503784,0.5487541556358337,-40.498382568359375,-39.874900817871094,-41.61480712890625,180,4525
-64.56636190372969,-64.26636190372969,-63.66636190372968,0.04090256031602621,0.0359037743175868,0.028825658708345143,-192.49908571118903,-83.1867904663086,-82.8820686340332,-82.64513778686523,1.212894082069397,0.6810402274131775,1.207135796546936,-41.83863830566406,-41.65056228637695,-40.551326751708984,190,4775
-67.72002393714382,-69.32002393714382,-69.32002393714382,0.027440652766730637,0.02204638699255884,0.0383349475543946,-206.36007181143145,-83.57793426513672,-85.26408767700195,-85.49382400512695,0.7818379402160645,0.915574312210083,0.5986881256103516,-41.78874969482422,-42.35317611694336,-41.40403366088867,200,5025
-63.19418870415711,-63.09418870415711,-60.99418870415711,0.03728323617670685,0.029709961146116258,0.03260257894452661,-187.28256611247133,-85.32106399536133,-85.52492141723633,-85.84013748168945,0.7129571437835693,0.9974012970924377,0.978256344795227,-43.37665939331055,-41.666805267333984,-42.240806579589844,210,5275
-62.74779316579227,-61.44779316579227,-63.647793165792265,0.023967535489238797,0.025796663855202497,0.02500913153914735,-187.84337949737682,-86.87527084350586,-86.7692642211914,-85.69778442382812,1.0923734903335571,0.4450302720069885,0.9912171959877014,-42.606597900390625,-42.586631774902344,-43.031471252441406,220,5525
