Return,total_numsteps
-13.629387,63
-16.971289,64
-18.075323,65
-11.5187,66
-8.456434,67
3.0940914,68
-7.433792,69
-6.62249,70
-5.576848,71
-4.5553336,72
-3.951925,73
-3.5861528,74
-2.96735,75
-2.155813,76
-7.119803,77
-13.839477,78
-16.507029,79
-16.426136,80
-9.861811,81
-8.836246,82
-4.5262628,83
-2.6684701,84
-2.4137285,85
-2.499324,86
-3.0517464,87
-4.1433635,88
-4.8437185,89
-5.4588046,90
-5.9526196,91
-6.5233703,92
-6.249363,93
-6.2203264,94
-6.737114,95
-6.926376,96
-7.206619,97
-7.520543,98
-7.386406,99
-6.776401,100
-6.367005,101
-6.076479,102
-6.314359,103
-7.041105,104
-7.358457,105
-7.4281764,106
-7.084249,107
-6.1201777,108
-5.4409537,109
-5.2613263,110
-5.3461304,111
-5.632816,112
-6.6175494,113
-8.11777,114
-8.656682,115
-8.653525,116
-7.8602443,117
-6.8192873,118
-6.463527,119
-6.271979,120
-5.773085,121
-5.848652,122
-6.7129145,123
-7.794018,124
-8.298287,125
-8.838737,126
-8.711367,127
-8.169991,128
-7.5771904,129
-7.490188,130
-7.6500688,131
-7.399906,132
-7.009042,133
-6.930889,134
-7.2402306,135
-7.7451096,136
-7.990841,137
-7.5023575,138
-6.6898117,139
-6.261867,140
-6.3781343,141
-6.752556,142
-7.2726274,143
-8.299185,144
-9.026867,145
-9.56389,146
-9.4240675,147
-8.549209,148
-7.4119296,149
-6.8158226,150
-6.393811,151
-6.399696,152
-6.972754,153
-7.776868,154
-8.352115,155
-9.093773,156
-9.46631,157
-9.672843,158
-9.780539,159
-9.564939,160
-9.076499,161
-8.301104,162
-7.720514,163
-7.2737117,164
-7.0295067,165
-6.7908792,166
-6.5177417,167
-7.311835,168
-8.324391,169
-9.1464615,170
-9.856226,171
-10.402319,172
-9.929003,173
-9.147279,174
-8.511148,175
-7.7589583,176
-8.150276,177
-8.074862,178
-8.261123,179
-8.650303,180
-8.655684,181
-8.68192,182
-8.419634,183
-7.717975,184
-7.2721543,185
-7.1999063,186
-7.5788383,187
-8.18462,188
-8.600039,189
-9.629218,190
-10.276801,191
-10.332878,192
-9.799591,193
-9.24222,194
-8.062339,195
-7.1230025,196
-6.6289496,197
-6.269813,198
-6.152122,199
-6.338367,200
-6.3232284,201
-7.1641173,202
-7.3656464,203
-7.554705,204
-8.367192,205
-9.127734,206
-9.706636,207
-9.234847,208
-8.774921,209
-7.8608623,210
-7.3936243,211
-6.895641,212
-7.2579494,213
-7.6131516,214
-7.8837814,215
-8.425645,216
-8.919655,217
-9.04003,218
-8.621871,219
-8.730034,220
-8.512749,221
-9.055878,222
-9.294746,223
-9.507198,224
-9.37609,225
-9.205332,226
-8.575751,227
-8.130264,228
-7.591246,229
-8.037914,230
-8.122093,231
-8.043408,232
-8.377184,233
-8.595792,234
-8.302749,235
-8.804589,236
-8.83937,237
-8.6359,238
-8.837275,239
-9.107041,240
-8.820886,241
-9.109105,242
-9.014691,243
-8.785103,244
-9.16925,245
-9.357212,246
-8.982363,247
-8.991157,248
-9.065603,249
-9.087896,250
-8.758923,251
-8.657032,252
-8.534483,253
-8.431909,254
-8.00404,255
-8.336165,256
-8.912686,257
-9.625902,258
-5.576624,259
-8.883934,260
-8.703608,261
-7.7028713,262
-9.4957075,263
-9.569797,264
-9.437774,265
-9.160354,266
-9.039434,267
-9.828487,268
-9.602411,269
-9.190765,270
-9.117755,271
-9.305745,272
-9.406171,273
-9.231533,274
-2.6371174,275
-1.3600578,276
-0.27065086,277
0.3655033,278
-0.776289,279
-5.274419,280
-6.552662,281
-8.985484,282
-7.9277725,283
-7.4333735,284
-7.1611304,285
-6.9767175,286
-7.214519,287
-7.3426223,288
-7.808652,289
-7.5097923,290
-9.005912,291
-9.348219,292
-9.76116,293
-9.676831,294
-8.930811,295
-9.272403,296
-9.458791,297
-8.689924,298
-7.760881,299
-8.068946,300
-8.624927,301
-9.1196,302
-9.618027,303
-9.175102,304
-9.622049,305
-7.4273777,306
-5.748213,307
0.2229023,308
-0.6129284,309
-5.470705,310
-4.702688,311
-5.456478,312
-9.173827,313
-8.625037,314
-9.345882,315
-9.214457,316
-9.493072,317
-8.989092,318
-8.335155,319
-7.8925524,320
-8.542618,321
-9.113063,322
-8.230349,323
-7.3662186,324
-5.9354935,325
-3.1601715,326
-1.6522932,327
-2.9771872,328
-2.563055,329
-0.70837593,330
-2.3985224,331
-7.256901,332
-7.632107,333
-9.708938,334
-9.426252,335
-8.333457,336
-7.9473724,337
-7.910471,338
-2.9588919,339
-8.686971,340
-7.9210534,341
-7.961273,342
-8.819304,343
-8.896169,344
-8.61178,345
-7.8309917,346
-6.290848,347
-5.3343296,348
-9.344887,349
-9.32996,350
-6.8185005,351
-4.772972,352
-2.7698517,353
-3.4033833,354
-5.612419,355
-5.4078875,356
-2.502862,357
0.39136505,358
-2.7141218,359
-2.0084848,360
0.41591358,361
1.2742348,362
0.08936691,363
1.6347275,364
2.048122,365
2.48101,366
2.8010602,367
6.1587434,368
3.5571113,369
3.7710886,370
4.0204167,371
1.06532,372
2.1284447,373
-0.37949085,374
-1.1365881,375
-0.727808,376
-2.5722342,377
-3.5507069,378
-1.8648796,379
-1.8919048,380
-4.037239,381
-0.27285767,382
-4.215,383
-2.6552277,384
-1.1927986,385
1.2749834,386
1.4668531,387
2.454112,388
2.0757012,389
-1.8376827,390
-2.8046045,391
-2.8808155,392
-1.5902891,393
-3.0537157,394
-5.5801697,395
-8.28513,396
-6.3373184,397
-4.1541996,398
-3.7235546,399
-3.0966024,400
-2.8721027,401
-3.7265387,402
-2.789466,403
3.1835308,404
5.767829,405
5.474587,406
5.7128057,407
4.9009466,408
5.806224,409
5.2609577,410
5.044972,411
5.3729067,412
5.506979,413
3.1048846,414
0.6691408,415
3.7074742,416
3.9268484,417
5.8444004,418
7.808205,419
8.630602,420
8.687792,421
9.020623,422
8.100605,423
6.7265215,424
7.382738,425
8.27478,426
6.992605,427
7.844755,428
8.6564665,429
8.672318,430
9.242885,431
8.809251,432
8.436134,433
7.5557013,434
8.694458,435
8.008468,436
8.360153,437
7.005723,438
7.109741,439
7.942754,440
8.770615,441
8.248331,442
9.284357,443
7.6986485,444
8.309214,445
6.8021913,446
5.511441,447
2.2956867,448
0.8839407,449
0.8304081,450
2.944107,451
-0.9074507,452
3.9846554,453
7.0843124,454
2.1168165,455
2.7828226,456
7.3542147,457
7.5936627,458
7.1007185,459
7.169545,460
5.302639,461
5.3184285,462
2.8799224,463
5.3390713,464
4.0109234,465
4.2292695,466
3.895503,467
4.4446125,468
4.270095,469
5.738704,470
4.9599376,471
3.9270844,472
2.8180203,473
6.3024855,474
9.5320015,475
9.638901,476
9.659033,477
9.478416,478
8.261452,479
6.6551476,480
6.595813,481
5.588347,482
4.186695,483
2.4031816,484
3.3149567,485
3.1346312,486
3.2455673,487
6.1077285,488
7.508518,489
7.2946143,490
7.97318,491
6.996727,492
6.1118298,493
7.7218933,494
6.7962117,495
8.450785,496
9.0896845,497
9.432626,498
9.427598,499
9.162693,500
8.759383,501
8.5302925,502
8.818549,503
8.960195,504
9.0936985,505
8.941767,506
7.9227915,507
7.143606,508
7.515463,509
7.9289494,510
8.362709,511
9.095305,512
9.308728,513
9.013323,514
8.571406,515
9.036106,516
9.078392,517
9.046809,518
8.017395,519
8.5614395,520
9.110268,521
9.488619,522
9.803675,523
9.252075,524
9.345385,525
9.017796,526
8.419503,527
7.371523,528
8.137824,529
7.5297775,530
7.1170506,531
6.7197194,532
4.9368205,533
3.8894472,534
5.689107,535
6.5975285,536
7.6414766,537
7.4086013,538
7.111924,539
6.8689556,540
7.2460747,541
4.1680946,542
3.5001497,543
1.8114166,544
1.7514334,545
2.6638322,546
5.6767874,547
6.6916437,548
8.217546,549
8.390244,550
8.960491,551
9.038897,552
9.475169,553
8.678198,554
8.222093,555
8.010397,556
7.623539,557
7.843845,558
8.42146,559
6.765029,560
7.2246666,561
7.2242827,562
6.1732864,563
7.1903067,564
6.9515967,565
7.2877,566
6.83864,567
8.002669,568
8.883949,569
9.575153,570
9.912407,571
9.621363,572
9.808845,573
9.489176,574
9.422652,575
9.666267,576
9.4616165,577
9.687776,578
9.275276,579
8.696621,580
8.297585,581
8.573743,582
9.46585,583
9.541853,584
9.616051,585
9.077442,586
7.9293437,587
5.324396,588
6.095196,589
7.297925,590
6.258686,591
5.3813896,592
6.2858295,593
5.4147644,594
4.457768,595
0.8155012,596
1.9764223,597
-2.7965536,598
-4.3181763,599
-4.116226,600
-3.0876389,601
-0.6206064,602
1.891118,603
3.5217113,604
5.2031307,605
5.099696,606
6.7848773,607
6.3023148,608
7.2122107,609
7.696249,610
7.8498425,611
7.512249,612
8.316141,613
8.097241,614
9.490126,615
9.679714,616
9.650749,617
9.878792,618
9.124993,619
8.262072,620
6.141879,621
6.2212763,622
7.7892027,623
6.3948364,624
7.1753073,625
8.035095,626
9.401262,627
9.586795,628
9.533892,629
9.040149,630
8.301421,631
7.288864,632
7.1183624,633
7.817334,634
8.692058,635
9.31806,636
9.081955,637
9.319579,638
7.276207,639
5.382364,640
4.3135495,641
3.999619,642
5.610663,643
5.972192,644
5.78945,645
8.052406,646
9.408244,647
9.076201,648
9.410706,649
9.541727,650
9.219283,651
9.398508,652
9.148291,653
8.3064,654
9.097606,655
9.14041,656
9.435648,657
9.833689,658
9.449497,659
9.223539,660
9.522384,661
9.283869,662
9.807694,663
9.859623,664
8.88472,665
9.669853,666
8.867623,667
8.396332,668
8.413719,669
8.359694,670
7.2558804,671
8.630991,672
8.7791195,673
7.9752426,674
8.829153,675
9.130597,676
9.293373,677
9.198834,678
7.3237157,679
8.579875,680
7.2554264,681
4.373159,682
2.8557591,683
2.286934,684
1.0144672,685
-1.1245947,686
0.7430515,687
1.8529787,688
4.647047,689
4.603976,690
7.5948095,691
8.528005,692
8.814334,693
8.410244,694
8.804025,695
8.486521,696
9.236112,697
9.298571,698
6.6846113,699
5.7185407,700
7.1878195,701
6.85782,702
7.6622653,703
8.434444,704
7.9071026,705
7.419816,706
8.182854,707
9.317611,708
9.547902,709
8.908177,710
8.65161,711
8.118458,712
7.1452923,713
7.4416294,714
8.772971,715
7.944364,716
8.558657,717
8.610429,718
7.888342,719
8.138559,720
7.151725,721
8.122814,722
8.231287,723
8.231801,724
8.557003,725
8.55816,726
8.934548,727
9.347582,728
9.802616,729
9.772087,730
8.651275,731
9.305616,732
9.250552,733
8.213747,734
7.7072744,735
7.985675,736
8.45005,737
8.213775,738
8.813138,739
8.348702,740
8.193077,741
8.89575,742
9.455286,743
9.306467,744
9.512246,745
9.279027,746
9.226061,747
8.05641,748
7.8818007,749
7.960625,750
7.1972528,751
6.6759014,752
4.798614,753
5.25,754
2.7303658,755
2.9758482,756
5.531762,757
5.7778406,758
5.396251,759
6.0256786,760
5.4581375,761
5.6772933,762
6.821061,763
6.876153,764
7.2745404,765
7.7243004,766
8.545654,767
7.8944407,768
8.523342,769
8.334902,770
8.06202,771
7.2546816,772
3.7537374,773
3.7821827,774
2.844695,775
3.4776392,776
2.6173086,777
0.84493256,778
-0.17727089,779
-0.23241138,780
-0.9947443,781
1.4446678,782
4.941251,783
4.437864,784
5.690546,785
7.8309865,786
8.154042,787
7.916391,788
8.067834,789
7.9635973,790
7.3656545,791
7.094261,792
6.627899,793
6.3174906,794
6.7368927,795
6.6730337,796
6.1776543,797
4.6623955,798
4.6285715,799
2.4419103,800
-0.8654423,801
-0.45327377,802
-1.2327194,803
2.4794474,804
1.42451,805
2.2892108,806
3.2647648,807
4.127445,808
4.717327,809
5.1908703,810
5.80628,811
4.4281645,812
3.3812122,813
3.6946387,814
2.914175,815
2.6659603,816
3.9075484,817
5.3454523,818
6.9357643,819
7.1658287,820
8.474712,821
8.301501,822
8.370811,823
7.1334414,824
6.84333,825
6.357959,826
7.4196186,827
7.152733,828
6.71439,829
6.7865424,830
6.084552,831
5.837856,832
6.0087667,833
6.6085205,834
7.54381,835
7.432252,836
8.179693,837
8.771782,838
8.630394,839
8.260244,840
7.722706,841
7.956662,842
7.8955545,843
8.661874,844
7.931261,845
8.3898735,846
8.028403,847
7.908564,848
8.109118,849
7.320962,850
7.1027756,851
6.902873,852
7.007742,853
7.3262663,854
7.224642,855
6.712085,856
5.964599,857
5.781019,858
5.858566,859
3.9531975,860
4.6580734,861
4.335196,862
3.1253839,863
3.7819948,864
4.7165413,865
6.96708,866
6.766574,867
7.267258,868
6.7890844,869
6.372428,870
6.3421063,871
6.012678,872
6.2912774,873
6.896441,874
6.4155407,875
5.2274466,876
5.8979645,877
5.9940963,878
5.98993,879
3.9347525,880
5.3596945,881
5.648825,882
5.6650553,883
5.506605,884
5.7727323,885
6.7866836,886
6.5712905,887
7.8191676,888
8.605632,889
8.750534,890
8.090522,891
7.862226,892
8.17051,893
7.2184024,894
6.9848247,895
6.993841,896
6.472008,897
5.049176,898
4.008916,899
3.9817672,900
3.8518538,901
3.1158824,902
3.598311,903
3.2076712,904
3.2737932,905
3.8552513,906
3.7853365,907
3.679963,908
5.610583,909
6.0441647,910
5.8526826,911
5.7476034,912
6.4902825,913
5.742042,914
5.348251,915
5.2690463,916
4.549925,917
5.583934,918
6.33457,919
6.8285623,920
6.703847,921
6.6269836,922
6.396409,923
5.7389646,924
6.0709066,925
5.188939,926
5.1096025,927
5.8841457,928
6.5694585,929
5.880762,930
5.665576,931
5.6729507,932
6.9910264,933
7.1767597,934
7.507251,935
8.229667,936
8.78233,937
8.827291,938
9.297247,939
9.1622505,940
8.676835,941
7.515771,942
6.876609,943
6.457402,944
5.4342427,945
6.6679144,946
6.185892,947
6.3925033,948
7.4256587,949
8.230024,950
8.55271,951
8.801937,952
9.068179,953
9.024639,954
9.134407,955
9.001456,956
8.946649,957
8.95151,958
8.700166,959
7.872981,960
7.419218,961
7.410343,962
7.0645676,963
7.542198,964
7.1907525,965
7.0157022,966
6.0119333,967
7.2448797,968
7.4440937,969
7.504906,970
7.6515217,971
8.164928,972
8.372274,973
8.364903,974
7.158815,975
5.84957,976
5.873048,977
5.8136673,978
5.6092505,979
5.212667,980
5.9762444,981
6.6319065,982
6.5825176,983
6.4981437,984
6.7936077,985
6.6136274,986
7.0060844,987
7.362767,988
6.015315,989
5.5637665,990
5.292385,991
5.7570243,992
6.22786,993
7.277375,994
7.100741,995
7.173529,996
7.3841496,997
6.5870104,998
6.462941,999
5.735694,1000
5.5735645,1001
6.326664,1002
6.428133,1003
5.947015,1004
4.4784026,1005
3.8748913,1006
3.348383,1007
5.2593875,1008
5.5028124,1009
5.537655,1010
5.0341835,1011
6.3278656,1012
6.7894197,1013
6.1376286,1014
6.458017,1015
6.721803,1016
7.123601,1017
6.392128,1018
6.6910343,1019
6.71988,1020
6.388315,1021
7.7052693,1022
8.120046,1023
7.9318953,1024
7.0557837,1025
7.15014,1026
6.712473,1027
7.131545,1028
6.9768877,1029
6.769207,1030
5.849081,1031
6.579467,1032
6.383036,1033
6.8018427,1034
7.909487,1035
8.2290535,1036
8.437518,1037
8.701597,1038
8.192247,1039
8.384454,1040
8.29175,1041
8.264896,1042
7.650301,1043
7.3421135,1044
7.2912064,1045
7.221443,1046
6.8030763,1047
6.8582234,1048
7.2504883,1049
6.5111523,1050
6.532913,1051
6.9699655,1052
6.761185,1053
6.528042,1054
6.844159,1055
6.3848286,1056
7.1508055,1057
6.902299,1058
5.630161,1059
6.1391516,1060
6.6373115,1061
6.9169536,1062
7.8170185,1063
8.719529,1064
8.423969,1065
8.656401,1066
8.403652,1067
7.586321,1068
7.1975155,1069
6.847762,1070
5.734655,1071
5.8300734,1072
5.3784947,1073
5.283909,1074
5.9127975,1075
6.102083,1076
6.7335634,1077
8.082406,1078
8.091423,1079
8.611545,1080
8.854103,1081
8.464867,1082
9.25433,1083
8.525884,1084
8.5045185,1085
8.202839,1086
7.6971726,1087
8.245631,1088
8.506691,1089
5.9515443,1090
6.610382,1091
7.6985054,1092
7.560461,1093
8.736805,1094
8.809369,1095
9.348949,1096
9.169946,1097
8.740984,1098
8.9562025,1099
8.001361,1100
8.264092,1101
8.8942795,1102
8.350185,1103
7.2774773,1104
7.0170536,1105
6.3516803,1106
5.444383,1107
3.0463204,1108
1.6748295,1109
2.6113696,1110
3.024331,1111
4.126971,1112
4.4072933,1113
4.99727,1114
4.862686,1115
4.492969,1116
3.6383781,1117
3.6450787,1118
3.839316,1119
4.176214,1120
5.305171,1121
4.691653,1122
5.836551,1123
6.1491776,1124
6.090804,1125
6.544795,1126
5.4170446,1127
4.915893,1128
3.8255591,1129
3.7650728,1130
4.8609,1131
3.4724317,1132
4.0907445,1133
5.668461,1134
6.078102,1135
6.5127897,1136
7.1373167,1137
7.266361,1138
7.826272,1139
7.221133,1140
6.118599,1141
5.163219,1142
5.1340866,1143
3.912425,1144
4.289975,1145
4.6885257,1146
4.925918,1147
4.9510055,1148
5.2799997,1149
6.478233,1150
6.5171585,1151
6.4386187,1152
6.981557,1153
7.821597,1154
7.5748796,1155
7.9215407,1156
7.9755363,1157
7.4933014,1158
6.9882145,1159
6.3231564,1160
6.3118625,1161
5.8844905,1162
5.695757,1163
5.2913904,1164
5.709066,1165
6.140179,1166
6.7752714,1167
6.7754827,1168
8.193704,1169
8.516628,1170
9.216124,1171
8.4171915,1172
8.292879,1173
7.878565,1174
8.162008,1175
8.620926,1176
8.312695,1177
8.054014,1178
8.486702,1179
8.323673,1180
7.810239,1181
7.8706293,1182
6.8635974,1183
6.6624527,1184
6.146388,1185
4.5814056,1186
4.723802,1187
4.4499564,1188
4.551539,1189
6.0336018,1190
6.8212686,1191
7.366572,1192
8.089431,1193
8.064493,1194
8.029385,1195
9.017616,1196
9.499712,1197
9.314996,1198
9.420711,1199
9.5771,1200
8.844679,1201
8.372405,1202
7.7023335,1203
7.814001,1204
7.7052717,1205
6.594062,1206
6.2918844,1207
6.2874675,1208
6.6857777,1209
6.906865,1210
7.555771,1211
7.4652457,1212
8.687733,1213
8.264776,1214
7.8092585,1215
7.8169527,1216
7.276593,1217
6.7985787,1218
6.818022,1219
6.4859395,1220
7.498539,1221
6.4813843,1222
6.2858367,1223
6.8830585,1224
6.8013334,1225
6.768794,1226
7.3671274,1227
7.8057275,1228
8.584381,1229
9.002663,1230
8.850236,1231
8.88618,1232
9.425048,1233
8.913015,1234
8.733195,1235
8.626301,1236
7.9099913,1237
7.6793523,1238
8.456238,1239
8.133372,1240
7.3066106,1241
6.2069716,1242
6.4477077,1243
